year,tmean_c,hdd18,cdd24,source
2000,14.001639344262296,2565.4,336.8,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2001,14.228219178082192,2431.7,284.6,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2002,13.785205479452056,2403.3,190.20000000000002,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2003,13.296164383561646,2535.5,196.5,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2004,14.556284153005466,2188.2,218.5,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2005,14.122465753424658,2408.0,288.1,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2006,14.107397260273972,2442.0,256.6,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2007,14.04986301369863,2449.2,272.1,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2008,13.907650273224043,2671.7,393.7,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2009,13.858082191780822,2273.8,164.70000000000002,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2010,14.804109589041095,2111.8,269.3,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2011,14.04931506849315,2575.9,343.59999999999997,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2012,13.145901639344261,2778.3,285.0,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2013,14.604383561643836,2322.4,305.9,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2014,13.14,2814.5,298.8,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2015,14.551232876712328,2351.0,362.4,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2016,15.059562841530056,2197.4,326.8,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2017,14.593424657534248,2360.4,323.2,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2018,14.56958904109589,2302.5,339.8,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2019,15.522191780821919,2062.4,442.90000000000003,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2020,14.14535519125683,2466.0,360.7,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2021,15.76986301369863,2278.7,619.1999999999999,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2022,15.615342465753425,2169.6,483.6,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2023,15.572876712328767,2124.2,489.40000000000003,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
2024,14.670218579234973,2312.4,390.2,"Open-Meteo Archive API (ERA5 reanalysis), station = Tashkent (41.31N, 69.28E)"
