year,tmean_c_natl,hdd18_natl,cdd24_natl,source
2000,15.273017848232913,2309.6303630363036,443.04598459846,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2001,15.46756205072562,2167.3568481848183,402.54053905390543,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2002,15.199832798348327,2123.1729372937293,325.89422442244233,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2003,14.587678843226788,2276.210533553355,333.67797029702973,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2004,15.712013592069589,1990.4325357535754,349.37832783278327,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2005,15.307493331524933,2195.681793179318,407.6107260726073,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2006,15.539021278840213,2176.2094609460946,423.52139713971405,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2007,15.54586494265865,2129.4006325632563,415.18979647964795,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2008,15.091452430762201,2423.758305830583,509.84251925192524,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2009,15.253517488735175,2040.6333333333332,306.41861936193624,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2010,15.79704288922043,1944.1936468646863,372.72984048404845,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2011,15.250162379251625,2360.291089108911,482.07266226622664,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2012,14.560161439641233,2477.062733773377,420.5972772277228,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2013,15.76739499977395,2094.814713971397,432.02852035203523,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2014,14.47009479030095,2564.252585258526,437.78613861386145,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2015,15.550479753454798,2175.120819581958,467.5395489548955,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2016,16.170125776238827,2004.5257975797579,462.40965346534654,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2017,15.317764214777643,2257.0262376237624,441.38495599559957,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2018,15.315291453802915,2201.3907590759077,439.50393289328935,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2019,16.15376606838766,1987.44400440044,524.25899339934,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2020,15.07024563112049,2332.9761826182616,491.98055555555567,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2021,16.363180598881804,2192.42202970297,693.2190869086909,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2022,16.398458414334584,2044.537321232123,561.4179592959297,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2023,16.69647708606477,1905.7101760176017,585.8064081408141,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
2024,15.835432334217026,2112.2489548954895,519.0869911991199,Open-Meteo (ERA5) pop-weighted across 13 UZB oblast capitals; weights from UzStat 2023 oblast pop estimates
