year,cons_twh,wb_population,wb_urban_pop_pct,wb_gdp_const2015_bn_usd,industry_va_const2015_usd,mfg_va_const2015_usd,services_va_const2015_usd,agri_va_const2015_usd,gdp_pc_const2015_usd,td_losses_pct_wb,urban_pop_pct_wb,tmean_c,hdd18,cdd24,residential_uzs_kwh,industrial_uzs_kwh,real_gdp_growth_pct,cpi_infl_pct
1990,48.88,20464956.0,40.7715937023416,32.109736981464394,8599579556.04665,,10744417095.1277,9506939522.43183,1569.01079980159,9.38837106080781,40.7715937023416,,,,,,,
1991,48.713,20962910.0,41.0845226123885,31.95175707385774,8947505408.53719,,10081519270.6225,9717717495.3118,1524.20427668953,9.36398043016708,41.0845226123885,,,,,,,
1992,45.651,21485090.0,41.5298766018746,28.373160282443255,7252916927.78791,,9536397777.80725,9089038682.44152,1320.59769274614,9.36929150871128,41.5298766018746,,,,,,-11.1,645.1
1993,44.284,21987955.0,42.0894314135234,27.720577594701556,6796164105.54122,,9342671231.89731,9225374260.91092,1260.7164965865,9.07037783067814,42.0894314135234,,,,,,-2.3,534.2
1994,43.064,22463291.0,42.7449627900584,26.279107561698932,6048022788.53381,,9050857564.94451,8911711535.32608,1169.86899033178,9.07112970711297,42.7449627900584,,,,,,-5.2,1568.3
1995,42.02,22917589.0,43.4782464742032,26.04259559220842,5736452868.87809,,9004770784.40886,9089945766.78312,1136.35843596848,8.73074410469306,43.4782464742032,,,,,,-0.9,304.6
1996,42.45,23351981.0,44.2710582086815,26.485319718073395,5819587178.45287,,9435948876.51181,8571818858.70832,1134.17871135102,8.9411920121535,44.2710582086815,,,,,,1.7,54.0
1997,42.975,23758960.0,45.1051737362168,27.862556342503183,5974277914.19114,,9937762384.73545,9068984352.05087,1172.71784381569,8.70282711599427,45.1051737362168,,,,,,5.2,70.9
1998,41.959,24134929.0,45.9623687995325,29.06064626552696,6112616140.97632,,10483645571.609,9440812711.14647,1204.09081234616,9.03885925764668,45.9623687995325,,,,,,4.3,29.0
1999,42.369,24476008.0,46.8244191413524,30.31025405546596,6241177021.93848,,10992578222.2906,9960057410.59551,1238.36591553108,9.24158603513257,46.8244191413524,,,,,,4.3,29.1
2000,43.808,24787054.0,47.6731005044,31.47265229853561,6352141203.26481,,11588569839.8108,10274695622.9425,1269.72137546219,9.2505654901626,47.6731005044,14.001639344262296,2565.4,336.8,,,3.8,25.0
2001,41.093,25090283.0,48.4901886313987,32.78312263322805,6536077694.41588,,12181182758.7394,10699856984.5382,1306.60633175114,15.3443566379616,48.4901886313987,14.228219178082192,2431.7,284.6,,,4.2,27.3
2002,41.205,25399980.0,49.2574592650723,34.08575614014536,6758304736.23826,,12582477087.7504,11341605186.4381,1341.95995981671,16.4159766787457,49.2574592650723,13.785205479452056,2403.3,190.20000000000002,,,4.0,27.3
2003,40.145,25711259.0,49.9566881481443,35.52847918773934,6973014055.50478,,12986334590.0435,12113312121.0449,1381.8257280882,17.6254564851668,49.9566881481443,13.296164383561646,2535.5,196.5,,,4.2,12.5
2004,40.345,26029350.0,50.5696510233382,38.17499581759332,7383282020.15368,,13941091104.0025,13122875173.0701,1466.6134889113,18.3202881345701,50.5696510233382,14.556284153005466,2188.2,218.5,,,7.4,7.3
2005,39.333,26356975.0,51.0781236333777,40.8281607738708,7776139095.96012,,14995018195.4826,13890931806.1344,1549.04577531643,16.8928983530893,51.0781236333777,14.122465753424658,2408.0,288.1,,,7.0,10.7
2006,42.326,26699043.0,51.4638817209862,43.87043788927486,8388751597.46893,,16162503792.5796,14878580588.4587,1643.14645619601,13.4182650436473,51.4638817209862,14.107397260273972,2442.0,256.6,,,7.5,13.1
2007,43.441,27076008.0,51.7087010288873,48.026286798048,9092932537.77933,,18183181588.0243,15839081545.3149,1773.75803693248,13.3827100038767,51.7087010288873,14.04986301369863,2449.2,272.1,,,9.5,11.2
2008,42.919,27494774.0,51.7943572998047,52.36265756393711,9685244221.96,,20426623710.0736,16586190311.4804,1904.45855506712,14.7337608028994,51.7943572998047,13.907650273224043,2671.7,393.7,,,9.0,13.1
2009,42.389,27939328.0,51.6105041503906,56.57834021283286,10643025491.9607,,21811252757.4505,17551986684.7464,2025.04298646098,15.3044727860607,51.6105041503906,13.858082191780822,2273.8,164.70000000000002,,,8.1,12.3
2010,41.823,28385506.0,51.3321647644043,60.87669174834869,13417593844.3062,7474485237.7209,23067551756.8253,18546095504.0699,2144.6400056546,17.2833092833093,51.3321647644043,14.804109589041095,2111.8,269.3,,,7.7,12.3
2011,43.257,28823196.0,51.3395500183105,65.45774796539095,14115486808.3335,8082285330.30415,25380041425.2143,19673440788.7354,2271.00936223002,16.6900234830695,51.3395500183105,14.04931506849315,2575.9,343.59999999999997,,,8.1,12.4
2012,43.717,29261903.0,51.3359680175781,70.10684843894556,15192810403.6658,8588431120.56065,27349339653.5622,21043296886.2591,2395.84036755728,16.3377626990859,51.3359680175781,13.145901639344261,2778.3,285.0,,,7.4,11.9
2013,44.626,29724065.0,51.1276969909668,75.22222994790175,16687288789.7663,9658900639.13061,29201169518.8629,22398348107.9657,2530.68447898703,16.7739575713241,51.1276969909668,14.604383561643836,2322.4,305.9,,,7.9,11.7
2014,45.788,30222994.0,50.8868713378906,80.39288450609992,17925553344.5919,10427457403.5118,31362860681.4072,23738588344.6761,2659.99075095273,16.4912217778814,50.8868713378906,13.14,2814.5,298.8,,,7.7,9.1
2015,47.104,30749346.0,50.6597328186035,86.19626475531054,19411796035.2944,11041283755.8004,33751908600.333,25187167939.3756,2803.19018021751,15.707517592141,50.6597328186035,14.551232876712328,2351.0,362.4,,,7.9,8.5
2016,48.119,31284568.0,50.6572189331055,91.309557164505,20548407802.5926,11778835169.7741,35729284777.6801,26740729491.292,2918.67725852903,15.5014731679071,50.6572189331055,15.059562841530056,2197.4,326.8,,,6.7,8.8
2017,50.35,31819178.0,50.6787376403809,95.32286296851092,21656145121.6399,12275474864.2026,37858760524.8583,27048713572.3715,2995.76761437743,16.1624465636304,50.6787376403809,14.593424657534248,2360.4,323.2,250.0,330.0,4.7,13.9
2018,57.676,32373490.0,50.5814971923828,100.62204749560075,24024389016.4664,13181063951.8771,39949374965.0678,27120696484.0957,3108.1618786112,7.67298397354363,50.5814971923828,14.56958904109589,2302.5,339.8,250.0,330.0,5.7,17.5
2019,60.141,32964701.0,50.5920104980469,107.44414583957732,26267862214.8397,14060996338.2363,43033898867.8311,27954843423.3879,3259.36964632494,7.40268530323779,50.5920104980469,15.522191780821919,2062.4,442.90000000000003,295.0,450.0,6.8,14.5
2020,59.046,33586372.0,50.7670402526855,109.1238661281477,27180692967.7487,15193095459.7562,42701792695.5403,28752686259.3648,3249.05191094018,15.0,50.7670402526855,14.14535519125683,2466.0,360.7,295.0,450.0,1.6,12.9
2021,72.559,34243696.0,50.9269905090332,117.89162298682184,29389206521.078,16486034593.5972,47359856556.8084,29889721845.544,3442.7248445034,3.35187702310721,50.9269905090332,15.76986301369863,2278.7,619.1999999999999,295.0,450.0,8.2,10.8
2022,73.164,34938955.0,50.9847412109375,124.96670285126324,31025933436.317,17334192642.5901,51650773748.1772,30968022099.0795,3576.71552716054,4.54967752359666,50.9847412109375,15.615342465753425,2169.6,483.6,295.0,450.0,6.1,11.4
2023,73.418,35652307.0,50.9964841114568,132.82887842753215,33090749501.3792,18609155324.3543,55295157613.2613,32224266819.5325,3725.67414578619,4.92546550425143,50.9964841114568,15.572876712328767,2124.2,489.40000000000003,295.0,450.0,6.3,10.0
