year,elec_consumption_twh,cons_twh,owid_elec_demand_twh,wb_population,wb_urban_pop_pct,wb_gdp_const2015_bn_usd,wb_industry_va_const_bn_usd,wb_gdp_growth_pct,industry_va_const2015_usd,mfg_va_const2015_usd,services_va_const2015_usd,agri_va_const2015_usd,gdp_pc_const2015_usd,td_losses_pct_wb,urban_pop_pct_wb,real_gdp_growth_pct,cpi_infl_pct,population_mn,tmean_c_natl,hdd18_natl,cdd24_natl,residential_uzs_kwh,industrial_uzs_kwh
1990,48.88,48.88,,20464956.0,40.7715937023416,32.109736981464394,8.599579556046647,1.6000000058370176,8599579556.04665,,10744417095.1277,9506939522.43183,1569.01079980159,9.38837106080781,40.7715937023416,,,,14.461526027397255,2455.3509999999997,384.07199999999995,,
1991,48.713,48.713,,20962910.0,41.0845226123885,31.95175707385774,8.94750540853719,-0.49200000516307796,8947505408.53719,,10081519270.6225,9717717495.3118,1524.20427668953,9.36398043016708,41.0845226123885,,,,13.925780821917805,2463.945,287.2829999999999,,
1992,45.651,45.651,,21485090.0,41.5298766018746,28.373160282443255,7.252916927787911,-11.199999997315999,7252916927.78791,,9536397777.80725,9089038682.44152,1320.59769274614,9.36929150871128,41.5298766018746,-11.1,645.1,21.36,13.767224043715842,2359.536,211.0009999999999,,
1993,44.284,44.284,,21987955.0,42.0894314135234,27.720577594701556,6.796164105541216,-2.30000000438973,6796164105.54122,,9342671231.89731,9225374260.91092,1260.7164965865,9.07037783067814,42.0894314135234,-2.3,534.2,21.853,13.109284931506846,2722.698,259.29599999999994,,
1994,43.064,43.064,,22463291.0,42.7449627900584,26.279107561698932,6.048022788533814,-5.199999993067038,6048022788.53381,,9050857564.94451,8911711535.32608,1169.86899033178,9.07112970711297,42.7449627900584,-5.2,1568.3,22.282,13.990843835616436,2523.9269999999997,367.497,,
1995,42.02,42.02,,22917589.0,43.4782464742032,26.04259559220842,5.73645286887809,-0.9000000054614503,5736452868.87809,,9004770784.40886,9089945766.78312,1136.35843596848,8.73074410469306,43.4782464742032,-0.9,304.6,22.69,14.53689315068493,2401.254,380.996,,
1996,42.45,42.45,,23351981.0,44.2710582086815,26.485319718073395,5.819587178452869,1.70000000306203,5819587178.45287,,9435948876.51181,8571818858.70832,1134.17871135102,8.9411920121535,44.2710582086815,1.7,54.0,23.13,13.44005464480874,2698.667,336.351,,
1997,42.975,42.975,,23758960.0,45.1051737362168,27.862556342503183,5.974277914191144,5.199999996564017,5974277914.19114,,9937762384.73545,9068984352.05087,1172.71784381569,8.70282711599427,45.1051737362168,5.2,70.9,23.867,14.758150684931504,2348.6549999999993,394.12999999999994,,
1998,41.959,41.959,,24134929.0,45.9623687995325,29.060646265526962,6.112616140976317,4.30000000106287,6112616140.97632,,10483645571.609,9440812711.14647,1204.09081234616,9.03885925764668,45.9623687995325,4.3,29.0,24.231,14.30827945205479,2422.3719999999994,357.50799999999987,,
1999,42.369,42.369,,24476008.0,46.8244191413524,30.310254055465958,6.2411770219384755,4.300000001793961,6241177021.93848,,10992578222.2906,9960057410.59551,1238.36591553108,9.24158603513257,46.8244191413524,4.3,29.1,24.583,14.726441095890408,2270.122,345.449,,
2000,43.808,43.808,48.14,24787054.0,47.6731005044,31.47265229853561,6.3521412032648135,3.835000000140326,6352141203.26481,,11588569839.8108,10274695622.9425,1269.72137546219,9.2505654901626,47.6731005044,3.8,25.0,24.488,14.966046448087427,2390.776,447.5929999999998,,
2001,41.093,41.093,48.45,25090283.0,48.4901886313987,32.78312263322805,6.536077694415885,4.163838249988899,6536077694.41588,,12181182758.7394,10699856984.5382,1306.60633175114,15.3443566379616,48.4901886313987,4.2,27.3,24.813,15.127041095890409,2263.4619999999995,395.3929999999999,,
2002,41.205,41.205,49.32,25399980.0,49.2574592650723,34.08575614014536,6.7583047362382604,3.9734881923572374,6758304736.23826,,12582477087.7504,11341605186.4381,1341.95995981671,16.4159766787457,49.2574592650723,4.0,27.3,25.116,14.847432876712324,2214.4789999999994,317.18899999999996,,
2003,40.145,40.145,48.73,25711259.0,49.9566881481443,35.52847918773934,6.973014055504785,4.232627381543637,6973014055.50478,,12986334590.0435,12113312121.0449,1381.8257280882,17.6254564851668,49.9566881481443,4.2,12.5,25.428,14.2354602739726,2375.7519999999995,319.59499999999997,,
2004,40.345,40.345,49.45,26029350.0,50.5696510233382,38.17499581759332,7.38328202015368,7.449000605596638,7383282020.15368,,13941091104.0025,13122875173.0701,1466.6134889113,18.3202881345701,50.5696510233382,7.4,7.3,25.707,15.391816939890706,2073.972,345.86699999999996,,
2005,39.333,39.333,47.39,26356975.0,51.0781236333777,40.8281607738708,7.776139095960122,6.950007195690972,7776139095.96012,,14995018195.4826,13890931806.1344,1549.04577531643,16.8928983530893,51.0781236333777,7.0,10.7,26.021,14.981909589041097,2280.2429999999995,398.58699999999993,,
2006,42.326,42.326,48.9,26699043.0,51.4638817209862,43.87043788927486,8.388751597468929,7.4514184762176825,8388751597.46893,,16162503792.5796,14878580588.4587,1643.14645619601,13.4182650436473,51.4638817209862,7.5,13.1,26.313,15.162435616438351,2278.7439999999992,410.2489999999999,,
2007,43.441,43.441,50.01,27076008.0,51.7087010288873,48.026286798048,9.092932537779333,9.473005305445398,9092932537.77933,,18183181588.0243,15839081545.3149,1773.75803693248,13.3827100038767,51.7087010288873,9.5,11.2,26.664,15.203580821917804,2217.3479999999995,404.37199999999984,,
2008,42.919,42.919,50.32,27494774.0,51.7943572998047,52.36265756393711,9.685244221960003,9.02916101784777,9685244221.96,,20426623710.0736,16586190311.4804,1904.45855506712,14.7337608028994,51.7943572998047,9.0,13.1,27.072,14.780767759562838,2520.8730000000005,509.1279999999998,,
2009,42.389,42.389,50.05,27939328.0,51.6105041503906,56.57834021283286,10.643025491960703,8.050933327339663,10643025491.9607,,21811252757.4505,17551986684.7464,2025.04298646098,15.3044727860607,51.6105041503906,8.1,12.3,27.533,14.881769863013696,2127.946999999999,296.94399999999996,,
2010,41.823,41.823,50.8,28385506.0,51.3321647644043,60.876691748348684,13.41759384430623,7.5971679610016025,13417593844.3062,7474485237.7209,23067551756.8253,18546095504.0699,2144.6400056546,17.2833092833093,51.3321647644043,7.7,12.3,28.001,15.479841095890404,2026.6899999999991,364.6289999999999,,
2011,43.257,43.257,52.07,28823196.0,51.3395500183105,65.45774796539095,14.11548680833348,7.525139894229767,14115486808.3335,8082285330.30415,25380041425.2143,19673440788.7354,2271.00936223002,16.6900234830695,51.3395500183105,8.1,12.4,29.123,14.925597260273967,2440.1889999999994,468.40999999999985,,
2012,43.717,43.717,52.33,29261903.0,51.3359680175781,70.10684843894556,15.192810403665817,7.102444887063172,15192810403.6658,8588431120.56065,27349339653.5622,21043296886.2591,2395.84036755728,16.3377626990859,51.3359680175781,7.4,11.9,29.555,14.21971038251366,2575.2129999999997,407.34099999999984,,
2013,44.626,44.626,53.73,29724065.0,51.1276969909668,75.22222994790175,16.687288789766253,7.296550369698991,16687288789.7663,9658900639.13061,29201169518.8629,22398348107.9657,2530.68447898703,16.7739575713241,51.1276969909668,7.9,11.7,29.994,15.463339726027392,2175.068,423.43499999999983,,
2014,45.788,45.788,54.97,30222994.0,50.8868713378906,80.39288450609992,17.92555334459194,6.8738384408163995,17925553344.5919,10427457403.5118,31362860681.4072,23738588344.6761,2659.99075095273,16.4912217778814,50.8868713378906,7.7,9.1,30.493,14.13380821917808,2650.4,434.21899999999994,,
2015,47.104,47.104,56.12,30749346.0,50.6597328186035,86.19626475531054,19.41179603529436,7.218773508208031,19411796035.2944,11041283755.8004,33751908600.333,25187167939.3756,2803.19018021751,15.707517592141,50.6597328186035,7.9,8.5,31.023,15.264915068493147,2250.651999999999,464.009,,
2016,48.119,48.119,57.21,31284568.0,50.6572189331055,91.309557164505,20.548407802592635,5.932150799932927,20548407802.5926,11778835169.7741,35729284777.6801,26740729491.292,2918.67725852903,15.5014731679071,50.6572189331055,6.7,8.8,31.575,15.86243989071038,2078.8779999999997,459.9669999999999,,
2017,50.35,50.35,60.2,31819178.0,50.6787376403809,95.32286296851092,21.65614512163994,4.395274633492633,21656145121.6399,12275474864.2026,37858760524.8583,27048713572.3715,2995.76761437743,16.1624465636304,50.6787376403809,4.7,13.9,32.121,15.015832876712324,2328.6179999999995,417.9129999999999,250.0,330.0
