scenario,year,co2_power_mt,co2_intensity_gco2_per_kwh
BAU,2024,42.82,531.1
BAU,2025,40.55,494.7
BAU,2026,39.37,470.0
BAU,2027,38.41,447.3
BAU,2028,37.64,426.5
BAU,2029,37.04,407.5
BAU,2030,36.59,390.3
BAU,2031,38.15,394.0
BAU,2032,39.84,397.9
BAU,2033,41.68,402.1
BAU,2034,43.65,406.5
BAU,2035,45.78,411.1
BAU,2036,48.05,415.8
BAU,2037,50.49,420.7
BAU,2038,53.1,425.6
BAU,2039,55.88,430.7
BAU,2040,58.85,435.8
Government,2024,41.95,520.3
Government,2025,38.89,474.5
Government,2026,35.11,419.2
Government,2027,31.66,368.7
Government,2028,28.5,322.9
Government,2029,25.6,281.6
Government,2030,22.93,244.6
Government,2031,22.89,236.4
Government,2032,22.91,228.8
Government,2033,22.96,221.5
Government,2034,23.05,214.7
Government,2035,23.17,208.1
Government,2036,23.33,201.9
Government,2037,23.51,195.9
Government,2038,23.72,190.1
Government,2039,23.95,184.6
Government,2040,24.21,179.2
Accelerated,2024,41.95,520.3
Accelerated,2025,38.89,474.5
Accelerated,2026,33.62,401.4
Accelerated,2027,28.75,334.8
Accelerated,2028,24.22,274.4
Accelerated,2029,20.02,220.3
Accelerated,2030,16.13,172.0
Accelerated,2031,15.61,161.2
Accelerated,2032,15.12,151.0
Accelerated,2033,14.67,141.5
Accelerated,2034,14.24,132.6
Accelerated,2035,13.83,124.2
Accelerated,2036,13.45,116.4
Accelerated,2037,13.09,109.0
Accelerated,2038,12.74,102.1
Accelerated,2039,12.42,95.7
Accelerated,2040,12.11,89.7
