year,demand_twh,ci_lo80,ci_hi80,ci_lo95,ci_hi95,winner_model
2024,79.59,74.47,84.79,74.24,87.13,Prophet
2025,83.56,76.31,90.91,75.99,94.21,Prophet
2026,87.51,78.64,96.51,78.24,100.56,Prophet
2027,91.47,81.22,101.86,80.77,106.54,Prophet
2028,95.42,83.97,107.04,83.46,112.27,Prophet
2029,99.39,86.84,112.12,86.28,117.85,Prophet
2030,103.34,89.79,117.09,89.19,123.28,Prophet
2031,107.3,92.81,122.0,92.16,128.61,Prophet
2032,111.25,95.89,126.84,95.2,133.86,Prophet
2033,115.22,99.02,131.65,98.3,139.05,Prophet
2034,119.18,102.18,136.41,101.43,144.17,Prophet
2035,123.13,105.38,141.13,104.59,149.23,Prophet
2036,127.09,108.61,145.82,107.79,154.26,Prophet
2037,131.05,111.88,150.49,111.03,159.25,Prophet
2038,135.01,115.17,155.13,114.28,164.19,Prophet
2039,138.96,118.47,159.75,117.56,169.1,Prophet
2040,142.92,121.79,164.34,120.85,173.99,Prophet
