year,dlngdp_pc,dlnind,dlnserv,dcdd,dhdd,dlncons_pred,cons_twh,scenario
2024,0.04588338704951633,0.06485097231961627,0.06485097231961627,-25.06666666666672,111.34999999999991,0.007267133214351197,73.95348173827571,Baseline
2025,0.057452493657975,0.07417939817425147,0.07417939817425147,0.0,0.0,0.008216323366745368,74.56361053369753,Baseline
2026,0.04569255065095157,0.06297479916138839,0.06297479916138839,0.0,0.0,0.014073590754460824,75.62040729317806,Baseline
2027,0.039802254046694685,0.05732506661926935,0.05732506661926935,0.0,0.0,0.01694961082119837,76.91306786661123,Baseline
2028,0.0388017328877337,0.05638033343610769,0.05638033343610769,0.0,0.0,0.01746105937759404,78.2678450124699,Baseline
2029,0.038815536812425666,0.05638033343610769,0.05638033343610769,0.0,0.0,0.01743397917435502,79.64432892408028,Baseline
2030,0.037828142526431074,0.055434706888100524,0.055434706888100524,0.0,0.0,0.017918303316391368,81.08428240234454,Baseline
2031,0.037829103690685484,0.055434706888100524,0.055434706888100524,0.0,0.0,0.0179164177277681,82.55011429472052,Baseline
2024,0.04588338704951633,0.06485097231961627,0.06485097231961627,-18.101666666666745,111.34999999999991,0.008802072154042924,74.0670829803025,Hot-summer (Broomandi +1.5%/yr CDD)
2025,0.057452493657975,0.07417939817425147,0.07417939817425147,7.069474999999898,0.0,0.009774286390532454,74.79458547842499,Hot-summer (Broomandi +1.5%/yr CDD)
2026,0.04569255065095157,0.06297479916138839,0.06297479916138839,7.175517124999942,0.0,0.015654923223604726,75.97470218838957,Hot-summer (Broomandi +1.5%/yr CDD)
2027,0.039802254046694685,0.05732506661926935,0.05732506661926935,7.283149881875033,0.0,0.018554663277379452,77.3975465837792,Hot-summer (Broomandi +1.5%/yr CDD)
2028,0.0388017328877337,0.05638033343610769,0.05638033343610769,7.392397130103063,0.0,0.019090187620617816,78.88927364125529,Hot-summer (Broomandi +1.5%/yr CDD)
2029,0.038815536812425666,0.05638033343610769,0.05638033343610769,7.5032830870545695,0.0,0.019087544341024144,80.4095390599126,Hot-summer (Broomandi +1.5%/yr CDD)
2030,0.037828142526431074,0.055434706888100524,0.055434706888100524,7.6158323333604585,0.0,0.019596671960560544,82.00083959141296,Hot-summer (Broomandi +1.5%/yr CDD)
2031,0.037829103690685484,0.055434706888100524,0.055434706888100524,7.730069818360903,0.0,0.019619961901599824,83.62557948852944,Hot-summer (Broomandi +1.5%/yr CDD)
2024,0.04588338704951633,0.07881118042428964,0.06485097231961627,-25.06666666666672,111.34999999999991,0.010219893745943424,74.17217137049118,Industrial-acceleration (+1.5pp ind VA growth)
2025,0.057452493657975,0.08801087732271318,0.07417939817425147,0.0,0.0,0.011141856096407665,75.00320807884368,Industrial-acceleration (+1.5pp ind VA growth)
2026,0.04569255065095157,0.07696104113612819,0.06297479916138839,0.0,0.0,0.017031857778752907,76.29159269874901,Industrial-acceleration (+1.5pp ind VA growth)
2027,0.039802254046694685,0.0713899960866728,0.05732506661926935,0.0,0.0,0.0199245212451393,77.82691060403496,Industrial-acceleration (+1.5pp ind VA growth)
2028,0.0388017328877337,0.07045846364856137,0.05638033343610769,0.0,0.0,0.020438761926027643,79.43396344229241,Industrial-acceleration (+1.5pp ind VA growth)
2029,0.038815536812425666,0.07045846364856137,0.05638033343610769,0.0,0.0,0.02041168172278862,81.07200494095342,Industrial-acceleration (+1.5pp ind VA growth)
2030,0.037828142526431074,0.0695260626486101,0.055434706888100524,0.0,0.0,0.020898803235466966,82.78414130501199,Industrial-acceleration (+1.5pp ind VA growth)
2031,0.037829103690685484,0.0695260626486101,0.055434706888100524,0.0,0.0,0.020896917646843698,84.53227639145312,Industrial-acceleration (+1.5pp ind VA growth)
