scenario,year,gas_ef_gco2_kwh,gas_share_of_thermal,ef_coal_gco2_kwh,c_ng_gco2_per_mj,gj_per_bcm,mt_co2_per_bcm
BAU,2024,650.0,0.88,950,56.1,36000000,2.0196
BAU,2025,650.0,0.88,950,56.1,36000000,2.0196
BAU,2026,650.0,0.88,950,56.1,36000000,2.0196
BAU,2027,650.0,0.88,950,56.1,36000000,2.0196
BAU,2028,650.0,0.88,950,56.1,36000000,2.0196
BAU,2029,650.0,0.88,950,56.1,36000000,2.0196
BAU,2030,650.0,0.88,950,56.1,36000000,2.0196
BAU,2031,650.0,0.88,950,56.1,36000000,2.0196
BAU,2032,650.0,0.88,950,56.1,36000000,2.0196
BAU,2033,650.0,0.88,950,56.1,36000000,2.0196
BAU,2034,650.0,0.88,950,56.1,36000000,2.0196
BAU,2035,650.0,0.88,950,56.1,36000000,2.0196
BAU,2036,650.0,0.88,950,56.1,36000000,2.0196
BAU,2037,650.0,0.88,950,56.1,36000000,2.0196
BAU,2038,650.0,0.88,950,56.1,36000000,2.0196
BAU,2039,650.0,0.88,950,56.1,36000000,2.0196
BAU,2040,650.0,0.88,950,56.1,36000000,2.0196
Government,2024,634.118,0.88,950,56.1,36000000,2.0196
Government,2025,618.235,0.88,950,56.1,36000000,2.0196
Government,2026,602.353,0.88,950,56.1,36000000,2.0196
Government,2027,586.471,0.88,950,56.1,36000000,2.0196
Government,2028,570.588,0.88,950,56.1,36000000,2.0196
Government,2029,554.706,0.88,950,56.1,36000000,2.0196
Government,2030,538.824,0.88,950,56.1,36000000,2.0196
Government,2031,522.941,0.88,950,56.1,36000000,2.0196
Government,2032,507.059,0.88,950,56.1,36000000,2.0196
Government,2033,491.176,0.88,950,56.1,36000000,2.0196
Government,2034,475.294,0.88,950,56.1,36000000,2.0196
Government,2035,459.412,0.88,950,56.1,36000000,2.0196
Government,2036,443.529,0.88,950,56.1,36000000,2.0196
Government,2037,427.647,0.88,950,56.1,36000000,2.0196
Government,2038,411.765,0.88,950,56.1,36000000,2.0196
Government,2039,395.882,0.88,950,56.1,36000000,2.0196
Government,2040,380.0,0.88,950,56.1,36000000,2.0196
Accelerated,2024,634.118,0.88,950,56.1,36000000,2.0196
Accelerated,2025,618.235,0.88,950,56.1,36000000,2.0196
Accelerated,2026,602.353,0.88,950,56.1,36000000,2.0196
Accelerated,2027,586.471,0.88,950,56.1,36000000,2.0196
Accelerated,2028,570.588,0.88,950,56.1,36000000,2.0196
Accelerated,2029,554.706,0.88,950,56.1,36000000,2.0196
Accelerated,2030,538.824,0.88,950,56.1,36000000,2.0196
Accelerated,2031,522.941,0.88,950,56.1,36000000,2.0196
Accelerated,2032,507.059,0.88,950,56.1,36000000,2.0196
Accelerated,2033,491.176,0.88,950,56.1,36000000,2.0196
Accelerated,2034,475.294,0.88,950,56.1,36000000,2.0196
Accelerated,2035,459.412,0.88,950,56.1,36000000,2.0196
Accelerated,2036,443.529,0.88,950,56.1,36000000,2.0196
Accelerated,2037,427.647,0.88,950,56.1,36000000,2.0196
Accelerated,2038,411.765,0.88,950,56.1,36000000,2.0196
Accelerated,2039,395.882,0.88,950,56.1,36000000,2.0196
Accelerated,2040,380.0,0.88,950,56.1,36000000,2.0196
