scenario,year,gen_thermal_twh,gen_hydro_twh,gen_solar_twh,gen_wind_twh,gen_total_twh,re_share_pct,cap_thermal_mw,cap_hydro_mw,cap_solar_mw,cap_wind_mw
BAU,2024,62.43,9.88,6.25,2.08,80.64,22.58,15684.0,3134.0,3965.0,790.0
BAU,2025,59.11,10.72,8.2,3.94,81.97,27.89,15500.0,3400.0,5200.0,1500.0
BAU,2026,57.39,11.17,9.38,5.82,83.76,31.49,15775.0,3543.0,5948.0,2215.0
BAU,2027,55.99,11.62,10.56,7.7,85.87,34.8,16050.0,3686.0,6696.0,2930.0
BAU,2028,54.87,12.08,11.74,9.58,88.26,37.83,16325.0,3829.0,7444.0,3645.0
BAU,2029,53.99,12.53,12.92,11.46,90.89,40.6,16600.0,3972.0,8192.0,4360.0
BAU,2030,53.34,12.98,14.1,13.34,93.75,43.1,16875.0,4115.0,8940.0,5075.0
BAU,2031,55.61,13.24,14.38,13.6,96.83,42.57,17212.0,4197.0,9119.0,5176.0
BAU,2032,58.08,13.5,14.67,13.88,100.12,41.99,17557.0,4281.0,9301.0,5280.0
BAU,2033,60.75,13.77,14.96,14.15,103.64,41.38,17908.0,4367.0,9487.0,5386.0
BAU,2034,63.63,14.05,15.26,14.44,107.38,40.74,18266.0,4454.0,9677.0,5493.0
BAU,2035,66.73,14.33,15.56,14.73,111.35,40.07,18631.0,4543.0,9870.0,5603.0
BAU,2036,70.05,14.61,15.88,15.02,115.56,39.38,19004.0,4634.0,10068.0,5715.0
BAU,2037,73.6,14.91,16.19,15.32,120.02,38.68,19384.0,4727.0,10269.0,5830.0
BAU,2038,77.4,15.2,16.52,15.63,124.75,37.95,19772.0,4821.0,10475.0,5946.0
BAU,2039,81.46,15.51,16.85,15.94,129.76,37.22,20167.0,4918.0,10684.0,6065.0
BAU,2040,85.79,15.82,17.18,16.26,135.05,36.48,20571.0,5016.0,10898.0,6186.0
Government,2024,62.43,9.88,6.25,2.08,80.64,22.58,15684.0,3134.0,3965.0,790.0
Government,2025,59.11,10.72,8.2,3.94,81.97,27.89,15500.0,3400.0,5200.0,1500.0
Government,2026,54.52,11.54,10.34,7.36,83.76,34.91,16000.0,3660.0,6560.0,2800.0
Government,2027,50.25,12.36,12.49,10.77,85.87,41.49,16500.0,3920.0,7920.0,4100.0
Government,2028,46.25,13.18,14.63,14.19,88.26,47.59,17000.0,4180.0,9280.0,5400.0
Government,2029,42.51,14.0,16.78,17.61,90.89,53.23,17500.0,4440.0,10640.0,6700.0
Government,2030,38.98,14.82,18.92,21.02,93.75,58.42,18000.0,4700.0,12000.0,8000.0
Government,2031,39.87,15.41,19.68,21.86,96.83,58.82,18720.0,4888.0,12480.0,8320.0
Government,2032,40.89,16.03,20.47,22.74,100.12,59.16,19469.0,5084.0,12979.0,8653.0
Government,2033,42.03,16.67,21.28,23.65,103.64,59.44,20248.0,5287.0,13498.0,8999.0
Government,2034,43.31,17.34,22.14,24.6,107.38,59.67,21057.0,5498.0,14038.0,9359.0
Government,2035,44.71,18.03,23.02,25.58,111.35,59.84,21900.0,5718.0,14600.0,9733.0
Government,2036,46.26,18.75,23.94,26.6,115.56,59.97,22776.0,5947.0,15184.0,10123.0
Government,2037,47.95,19.5,24.9,27.67,120.02,60.05,23687.0,6185.0,15791.0,10527.0
Government,2038,49.8,20.28,25.9,28.77,124.75,60.08,24634.0,6432.0,16423.0,10949.0
Government,2039,51.8,21.1,26.93,29.92,129.76,60.08,25620.0,6690.0,17080.0,11386.0
Government,2040,53.98,21.94,28.01,31.12,135.05,60.03,26644.0,6957.0,17763.0,11842.0
Accelerated,2024,62.43,9.88,6.25,2.08,80.64,22.58,15684.0,3134.0,3965.0,790.0
Accelerated,2025,59.11,10.72,8.2,3.94,81.97,27.89,15500.0,3400.0,5200.0,1500.0
Accelerated,2026,52.2,11.86,11.29,8.41,83.76,37.67,16000.0,3760.0,7160.0,3200.0
Accelerated,2027,45.62,12.99,14.38,12.88,85.87,46.87,16500.0,4120.0,9120.0,4900.0
Accelerated,2028,39.31,14.13,17.47,17.34,88.26,55.46,17000.0,4480.0,11080.0,6600.0
Accelerated,2029,33.26,15.26,20.56,21.81,90.89,63.41,17500.0,4840.0,13040.0,8300.0
Accelerated,2030,27.42,16.4,23.65,26.28,93.75,70.75,18000.0,5200.0,15000.0,10000.0
Accelerated,2031,27.18,17.22,24.83,27.59,96.83,71.93,18900.0,5460.0,15750.0,10500.0
Accelerated,2032,26.99,18.08,26.08,28.97,100.12,73.04,19845.0,5733.0,16538.0,11025.0
Accelerated,2033,26.85,18.98,27.38,30.42,103.64,74.09,20837.0,6020.0,17364.0,11576.0
Accelerated,2034,26.75,19.93,28.75,31.94,107.38,75.09,21879.0,6321.0,18233.0,12155.0
Accelerated,2035,26.69,20.93,30.19,33.54,111.35,76.03,22973.0,6637.0,19144.0,12763.0
Accelerated,2036,26.67,21.98,31.7,35.22,115.56,76.92,24122.0,6968.0,20101.0,13401.0
Accelerated,2037,26.69,23.07,33.28,36.98,120.02,77.76,25328.0,7317.0,21107.0,14071.0
Accelerated,2038,26.75,24.23,34.94,38.83,124.75,78.56,26594.0,7683.0,22162.0,14775.0
Accelerated,2039,26.85,25.44,36.69,40.77,129.76,79.3,27924.0,8067.0,23270.0,15513.0
Accelerated,2040,27.01,26.71,38.53,42.81,135.05,80.0,29320.0,8470.0,24433.0,16289.0
