scenario,year,gen_thermal_twh,gen_hydro_twh,gen_solar_twh,gen_wind_twh,gen_total_twh,re_share_pct,cap_thermal_mw,cap_hydro_mw,cap_solar_mw,cap_wind_mw,gen_nuclear_twh,re_plus_nuclear_share_pct
BAU,2024,68.54,9.88,6.25,2.08,86.75,20.99135446685879,15684.0,3134.0,3965.0,790.0,0.0,20.99135446685879
BAU,2025,68.21,10.72,8.2,3.94,91.07,25.101570220709352,15500.0,3400.0,5200.0,1500.0,0.0,25.101570220709352
BAU,2026,69.02,11.17,9.38,5.82,95.38999999999999,27.644407170562957,15775.0,3543.0,5948.0,2215.0,0.0,27.644407170562957
BAU,2027,69.82,11.62,10.56,7.7,99.7,29.96990972918756,16050.0,3686.0,6696.0,2930.0,0.0,29.96990972918756
BAU,2028,70.62,12.08,11.74,9.58,104.02,32.10920976735243,16325.0,3829.0,7444.0,3645.0,0.0,32.10920976735243
BAU,2029,71.43,12.53,12.92,11.46,108.34,34.06867269706479,16600.0,3972.0,8192.0,4360.0,0.0,34.06867269706479
BAU,2030,72.23,12.98,14.1,13.34,112.65,35.881047492232575,16875.0,4115.0,8940.0,5075.0,0.0,35.881047492232575
BAU,2031,75.74,13.24,14.38,13.6,116.95999999999998,35.242818057455544,17212.0,4197.0,9119.0,5176.0,0.0,35.242818057455544
BAU,2032,74.7524,13.5,14.67,13.88,121.27,34.67469283417169,17557.0,4281.0,9301.0,5280.0,4.4676,38.35870371897419
BAU,2033,73.7748,13.77,14.96,14.15,125.58999999999999,34.14284576797516,17908.0,4367.0,9487.0,5386.0,8.9352,41.25742495421611
BAU,2034,77.2248,14.05,15.26,14.44,129.91,33.67716111153876,18266.0,4454.0,9677.0,5493.0,8.9352,40.555153567854674
BAU,2035,80.6648,14.33,15.56,14.73,134.22,33.24392787960066,18631.0,4543.0,9870.0,5603.0,8.9352,39.90105796453584
BAU,2036,84.07480000000001,14.61,15.88,15.02,138.52,32.85446144961017,19004.0,4634.0,10068.0,5715.0,8.9352,39.304937915102514
BAU,2037,87.49480000000001,14.91,16.19,15.32,142.85000000000002,32.49562478123906,19384.0,4727.0,10269.0,5830.0,8.9352,38.75057752887644
BAU,2038,90.87480000000001,15.2,16.52,15.63,147.16000000000003,32.175863006251696,19772.0,4821.0,10475.0,5946.0,8.9352,38.24762163631421
BAU,2039,94.2348,15.51,16.85,15.94,151.47000000000003,31.88750247573776,20167.0,4918.0,10684.0,6065.0,8.9352,37.78649237472766
BAU,2040,97.5848,15.82,17.18,16.26,155.78,31.621517524714342,20571.0,5016.0,10898.0,6186.0,8.9352,37.357298754654
Government,2024,68.54,9.88,6.25,2.08,86.75,20.99135446685879,15684.0,3134.0,3965.0,790.0,0.0,20.99135446685879
Government,2025,68.21,10.72,8.2,3.94,91.07,25.101570220709352,15500.0,3400.0,5200.0,1500.0,0.0,25.101570220709352
Government,2026,66.14,11.54,10.34,7.36,95.38000000000001,30.656322080100644,16000.0,3660.0,6560.0,2800.0,0.0,30.656322080100644
Government,2027,64.07,12.36,12.49,10.77,99.68999999999998,35.73076537265524,16500.0,3920.0,7920.0,4100.0,0.0,35.73076537265524
Government,2028,62.01,13.18,14.63,14.19,104.00999999999999,40.38073262186329,17000.0,4180.0,9280.0,5400.0,0.0,40.38073262186329
Government,2029,59.95,14.0,16.78,17.61,108.34,44.66494369577257,17500.0,4440.0,10640.0,6700.0,0.0,44.66494369577257
Government,2030,57.88,14.82,18.92,21.02,112.64,48.61505681818182,18000.0,4700.0,12000.0,8000.0,0.0,48.61505681818182
Government,2031,60.0,15.41,19.68,21.86,116.95,48.69602394185549,18720.0,4888.0,12480.0,8320.0,0.0,48.69602394185549
Government,2032,57.562400000000004,16.03,20.47,22.74,121.27,48.84967428053104,19469.0,5084.0,12979.0,8653.0,4.4676,52.533685165333544
Government,2033,55.044799999999995,16.67,21.28,23.65,125.58,49.05239687848384,20248.0,5287.0,13498.0,8999.0,8.9352,56.16754260232521
Government,2034,56.8948,17.34,22.14,24.6,129.91,49.32645677776924,21057.0,5498.0,14038.0,9359.0,8.9352,56.20444923408514
Government,2035,58.6448,18.03,23.02,25.58,134.21,49.64607704343938,21900.0,5718.0,14600.0,9733.0,8.9352,56.30370315177705
Government,2036,60.2848,18.75,23.94,26.6,138.51,50.025268933651,22776.0,5947.0,15184.0,10123.0,8.9352,56.4762111038914
Government,2037,61.8448,19.5,24.9,27.67,142.85000000000002,50.451522576128795,23687.0,6185.0,15791.0,10527.0,8.9352,56.70647532376617
Government,2038,63.2648,20.28,25.9,28.77,147.15000000000003,50.93442065919129,24634.0,6432.0,16423.0,10949.0,8.9352,57.006591913013914
Government,2039,64.5848,21.1,26.93,29.92,151.47000000000003,51.462335776061266,25620.0,6690.0,17080.0,11386.0,8.9352,57.361325675051155
Government,2040,65.7748,21.94,28.01,31.12,155.78,52.04134035177815,26644.0,6957.0,17763.0,11842.0,8.9352,57.77712158171781
Accelerated,2024,68.54,9.88,6.25,2.08,86.75,20.99135446685879,15684.0,3134.0,3965.0,790.0,0.0,20.99135446685879
Accelerated,2025,68.21,10.72,8.2,3.94,91.07,25.101570220709352,15500.0,3400.0,5200.0,1500.0,0.0,25.101570220709352
Accelerated,2026,63.83,11.86,11.29,8.41,95.38999999999999,33.08522905964986,16000.0,3760.0,7160.0,3200.0,0.0,33.08522905964986
Accelerated,2027,59.45,12.99,14.38,12.88,99.69999999999999,40.37111334002007,16500.0,4120.0,9120.0,4900.0,0.0,40.37111334002007
