Model,MAPE %,RMSE,R²,CV mean MAPE,CV std,Lewis (CV)
Prophet,7.65,6.33,0.08,6.43,3.32,★ highly accurate
Holt-Winters,7.34,5.97,0.18,9.07,3.83,★ highly accurate
SARIMAX-exog,9.86,8.65,-0.72,9.41,4.56,★ highly accurate
ARIMA (AICc),17.54,13.25,-3.02,9.68,3.81,★ highly accurate
Naive RW+drift,10.72,9.55,-1.09,9.82,4.39,★ highly accurate
OLS first-diff,10.63,9.47,-1.05,9.86,4.66,★ highly accurate
Theta,12.63,11.03,-1.79,10.33,4.63,✓ good
OLS levels (spur.),15.31,12.01,-2.31,11.88,2.76,✓ good
Ridge (lag+macro),43.53,40.21,-36.05,12.28,3.97,✓ good
GradientBoosting,19.51,15.25,-4.33,12.96,4.7,✓ good
Linear trend,23.47,17.35,-5.9,15.73,6.37,✓ good
