year,real_gdp_growth_pct,population_mn,cpi_infl_pct,source
1992,-11.1,21.36,645.1,IMF WEO October 2025 (DataMapper API)
1993,-2.3,21.853,534.2,IMF WEO October 2025 (DataMapper API)
1994,-5.2,22.282,1568.3,IMF WEO October 2025 (DataMapper API)
1995,-0.9,22.69,304.6,IMF WEO October 2025 (DataMapper API)
1996,1.7,23.13,54.0,IMF WEO October 2025 (DataMapper API)
1997,5.2,23.867,70.9,IMF WEO October 2025 (DataMapper API)
1998,4.3,24.231,29.0,IMF WEO October 2025 (DataMapper API)
1999,4.3,24.583,29.1,IMF WEO October 2025 (DataMapper API)
2000,3.8,24.488,25.0,IMF WEO October 2025 (DataMapper API)
2001,4.2,24.813,27.3,IMF WEO October 2025 (DataMapper API)
2002,4.0,25.116,27.3,IMF WEO October 2025 (DataMapper API)
2003,4.2,25.428,12.5,IMF WEO October 2025 (DataMapper API)
2004,7.4,25.707,7.3,IMF WEO October 2025 (DataMapper API)
2005,7.0,26.021,10.7,IMF WEO October 2025 (DataMapper API)
2006,7.5,26.313,13.1,IMF WEO October 2025 (DataMapper API)
2007,9.5,26.664,11.2,IMF WEO October 2025 (DataMapper API)
2008,9.0,27.072,13.1,IMF WEO October 2025 (DataMapper API)
2009,8.1,27.533,12.3,IMF WEO October 2025 (DataMapper API)
2010,7.7,28.001,12.3,IMF WEO October 2025 (DataMapper API)
2011,8.1,29.123,12.4,IMF WEO October 2025 (DataMapper API)
2012,7.4,29.555,11.9,IMF WEO October 2025 (DataMapper API)
2013,7.9,29.994,11.7,IMF WEO October 2025 (DataMapper API)
2014,7.7,30.493,9.1,IMF WEO October 2025 (DataMapper API)
2015,7.9,31.023,8.5,IMF WEO October 2025 (DataMapper API)
2016,6.7,31.575,8.8,IMF WEO October 2025 (DataMapper API)
2017,4.7,32.121,13.9,IMF WEO October 2025 (DataMapper API)
2018,5.7,32.657,17.5,IMF WEO October 2025 (DataMapper API)
2019,6.8,33.905,14.5,IMF WEO October 2025 (DataMapper API)
2020,1.6,34.559,12.9,IMF WEO October 2025 (DataMapper API)
2021,8.2,35.271,10.8,IMF WEO October 2025 (DataMapper API)
2022,6.1,36.025,11.4,IMF WEO October 2025 (DataMapper API)
2023,6.3,36.8,10.0,IMF WEO October 2025 (DataMapper API)
2024,6.7,37.543,9.6,IMF WEO October 2025 (DataMapper API)
2025,7.7,38.237,8.8,IMF WEO October 2025 (DataMapper API)
2026,6.5,38.943,7.0,IMF WEO October 2025 (DataMapper API)
2027,5.9,39.662,5.6,IMF WEO October 2025 (DataMapper API)
2028,5.8,40.395,5.0,IMF WEO October 2025 (DataMapper API)
2029,5.8,41.141,5.0,IMF WEO October 2025 (DataMapper API)
2030,5.7,41.901,5.0,IMF WEO October 2025 (DataMapper API)
2031,5.7,42.675,5.0,IMF WEO October 2025 (DataMapper API)
