scenario,year,demand_w_losses_twh,supply_twh,deficit_point,deficit_upper80,flag
BAU,2024,80.64,80.64,-0.0,6.47,STRESS
BAU,2025,81.97,81.97,-0.0,6.42,STRESS
BAU,2026,83.77,83.76,0.01,6.55,DEFICIT
BAU,2027,85.87,85.87,0.0,6.79,DEFICIT
BAU,2028,88.26,88.26,-0.0,7.1,STRESS
BAU,2029,90.9,90.89,0.01,7.48,DEFICIT
BAU,2030,93.75,93.75,0.0,7.9,DEFICIT
BAU,2031,96.82,96.83,-0.01,8.38,STRESS
BAU,2032,100.13,100.12,0.01,8.9,DEFICIT
BAU,2033,103.64,103.64,-0.0,9.46,STRESS
BAU,2034,107.38,107.38,-0.0,10.07,STRESS
BAU,2035,111.34,111.35,-0.01,10.73,STRESS
BAU,2036,115.56,115.56,0.0,11.44,DEFICIT
BAU,2037,120.02,120.02,-0.0,12.21,STRESS
BAU,2038,124.75,124.75,0.0,13.02,DEFICIT
BAU,2039,129.75,129.76,-0.01,13.88,STRESS
BAU,2040,135.05,135.05,0.0,14.81,DEFICIT
Government,2024,80.64,80.64,-0.0,6.47,STRESS
Government,2025,81.97,81.97,-0.0,6.42,STRESS
Government,2026,83.77,83.76,0.01,6.55,DEFICIT
Government,2027,85.87,85.87,0.0,6.79,DEFICIT
Government,2028,88.26,88.26,-0.0,7.1,STRESS
Government,2029,90.9,90.89,0.01,7.48,DEFICIT
Government,2030,93.75,93.75,0.0,7.9,DEFICIT
Government,2031,96.82,96.83,-0.01,8.38,STRESS
Government,2032,100.13,100.12,0.01,8.9,DEFICIT
Government,2033,103.64,103.64,-0.0,9.46,STRESS
Government,2034,107.38,107.38,-0.0,10.07,STRESS
Government,2035,111.34,111.35,-0.01,10.73,STRESS
Government,2036,115.56,115.56,0.0,11.44,DEFICIT
Government,2037,120.02,120.02,-0.0,12.21,STRESS
Government,2038,124.75,124.75,0.0,13.02,DEFICIT
Government,2039,129.75,129.76,-0.01,13.88,STRESS
Government,2040,135.05,135.05,0.0,14.81,DEFICIT
Accelerated,2024,80.64,80.64,-0.0,6.47,STRESS
Accelerated,2025,81.97,81.97,-0.0,6.42,STRESS
Accelerated,2026,83.77,83.76,0.01,6.55,DEFICIT
Accelerated,2027,85.87,85.87,0.0,6.79,DEFICIT
Accelerated,2028,88.26,88.26,-0.0,7.1,STRESS
Accelerated,2029,90.9,90.89,0.01,7.48,DEFICIT
Accelerated,2030,93.75,93.75,0.0,7.9,DEFICIT
Accelerated,2031,96.82,96.83,-0.01,8.38,STRESS
Accelerated,2032,100.13,100.12,0.01,8.9,DEFICIT
Accelerated,2033,103.64,103.64,-0.0,9.46,STRESS
Accelerated,2034,107.38,107.38,-0.0,10.07,STRESS
Accelerated,2035,111.34,111.35,-0.01,10.73,STRESS
Accelerated,2036,115.56,115.56,0.0,11.44,DEFICIT
Accelerated,2037,120.02,120.02,-0.0,12.21,STRESS
Accelerated,2038,124.75,124.75,0.0,13.02,DEFICIT
Accelerated,2039,129.75,129.76,-0.01,13.88,STRESS
Accelerated,2040,135.05,135.05,0.0,14.81,DEFICIT
