scenario,year,gas_for_power_twh,gas_for_power_bcm
BAU,2024,60.32,13.4
BAU,2025,60.02,13.34
BAU,2026,60.74,13.5
BAU,2027,61.44,13.65
BAU,2028,62.15,13.81
BAU,2029,62.86,13.97
BAU,2030,63.56,14.12
BAU,2031,66.65,14.81
BAU,2032,69.71,15.49
BAU,2033,72.78,16.17
BAU,2034,75.82,16.85
BAU,2035,78.85,17.52
BAU,2036,81.85,18.19
BAU,2037,84.86,18.86
BAU,2038,87.83,19.52
BAU,2039,90.79,20.18
BAU,2040,93.74,20.83
Government,2024,60.32,13.4
Government,2025,60.02,13.34
Government,2026,58.2,12.93
Government,2027,56.38,12.53
Government,2028,54.57,12.13
Government,2029,52.76,11.72
Government,2030,50.93,11.32
Government,2031,52.8,11.73
Government,2032,54.59,12.13
Government,2033,56.3,12.51
Government,2034,57.93,12.87
Government,2035,59.47,13.22
Government,2036,60.91,13.54
Government,2037,62.29,13.84
Government,2038,63.54,14.12
Government,2039,64.7,14.38
Government,2040,65.74,14.61
Accelerated,2024,60.32,13.4
Accelerated,2025,60.02,13.34
Accelerated,2026,56.17,12.48
Accelerated,2027,52.32,11.63
Accelerated,2028,48.46,10.77
Accelerated,2029,44.62,9.91
Accelerated,2030,40.75,9.06
Accelerated,2031,41.63,9.25
Accelerated,2032,42.36,9.41
Accelerated,2033,42.94,9.54
Accelerated,2034,43.37,9.64
Accelerated,2035,43.61,9.69
Accelerated,2036,43.67,9.71
Accelerated,2037,43.57,9.68
Accelerated,2038,43.26,9.61
Accelerated,2039,42.74,9.5
Accelerated,2040,42.0,9.33
