year,wb_td_losses_pct,rolling5,signal
1990,9.388371060807811,,0
1991,9.363980430167082,,0
1992,9.36929150871128,9.373880999895391,1
1993,9.070377830678142,9.298005207591078,1
1994,9.071129707112972,9.252630107495458,1
1995,8.730744104693065,9.121104716272509,1
1996,8.941192012153504,9.036547032669791,1
1997,8.702827115994268,8.90325415412639,1
1998,9.038859257646676,8.896950439520097,1
1999,9.241586035132574,8.931041705124017,1
2000,9.250565490162604,9.035005982217925,1
2001,15.344356637961592,10.315638907379542,1
2002,16.415976678745672,11.858268819929824,1
2003,17.625456485166797,13.575588265433847,1
2004,18.320288134570113,15.391328685321355,1
2005,16.89289835308927,16.91979525790669,1
2006,13.418265043647338,16.534576939043838,1
2007,13.38271000387668,15.92792360407004,1
2008,14.73376080289936,15.349584467616552,1
2009,15.304472786060716,14.746421397914673,1
2010,17.283309283309283,14.824503583958677,1
2011,16.690023483069464,15.478855271843102,1
2012,16.337762699085854,16.069865810884938,1
2013,16.773957571324065,16.47790516456988,1
2014,16.49122177788139,16.71525496293401,1
2015,15.707517592141016,16.40009662470036,1
2016,15.50147316790708,16.16238656166788,1
2017,16.162446563630382,16.127323334576783,1
2023,17.8,16.332531820311974,1
