scenario,tech,adds_mw_2024_40,capex_bn_usd
BAU,solar,6933,6.59
BAU,wind,5396,7.82
BAU,hydro,1882,4.14
BAU,thermal,4887,5.38
Government,solar,13798,13.11
Government,wind,11052,16.03
Government,hydro,3823,8.41
Government,thermal,10960,12.06
Accelerated,solar,20468,19.44
Accelerated,wind,15499,22.47
Accelerated,hydro,5336,11.74
Accelerated,thermal,13636,15.0
BAU,storage,693,0.28
BAU,transmission,6164,3.08
Government,storage,2759,1.1
Government,transmission,12425,6.21
Accelerated,storage,4093,1.64
Accelerated,transmission,17983,8.99
