year,elec_consumption_twh,elec_consumption_twh_bridged,gen_total_twh,gen_total_twh_bridged,gen_gas_twh,gen_hydro_twh,gen_coal_twh,gen_solar_twh,gen_wind_twh,gen_fossil_twh,gen_renewable_twh,re_penetration_pct,fossil_share_pct,capacity_total_mw,capacity_thermal_mw,capacity_hydro_mw,sc_solar_twh,sc_wind_twh,irena_re_share_generation_pct,irena_re_share_capacity_pct,sc_gas_prod_tj,sc_gas_cons_tj,gas_self_sufficiency_pct,wb_co2_total_mt,wb_co2_power_mt,co2_intensity_power_gco2kwh,wb_gdp_const2015_bn_usd,wb_gdp_growth_pct,wb_population,wb_urban_pop_pct,is_preliminary,data_status
1990,48.88,48.88,56.32500000000001,56.32500000000001,43.029,6.648000000000001,4.159,,,49.67700000000001,6.648000000000001,11.802929427430092,88.1970705725699,,,,,,,,,,,127.8534,43.8052,97.420108,32.109736981464394,1.6000000058370176,20464956.0,40.7715937023416,0,confirmed
1991,48.713,48.713,54.165,54.165,39.314,6.031,4.0,,,48.134,6.031,11.134496446044494,88.8655035539555,,,,,,,,,,,128.1201,43.791,101.271956,31.95175707385774,-0.49200000516307796,20962910.0,41.0845226123885,0,confirmed
1992,45.651,45.651,50.911,50.911,38.64,6.281,2.49,,,44.63,6.281,12.337215925831352,87.66278407416866,,,,,,,,,,,119.4667,45.095,109.773108,28.373160282443255,-11.199999997315999,21485090.0,41.5298766018746,0,confirmed
1993,44.284,44.284,49.149,49.149,36.765,7.3580000000000005,3.186,,,41.791,7.3580000000000005,14.970803068221125,85.02919693177887,,,,,,,,,,,119.2808,44.2426,111.677106,27.720577594701556,-2.30000000438973,21987955.0,42.0894314135234,0,confirmed
1994,43.064,43.064,47.800000000000004,47.800000000000004,35.118,7.156000000000001,3.972,,,40.644000000000005,7.156000000000001,14.97071129707113,85.02928870292888,,,,,,,,,,,113.6737,39.0369,100.090037,26.279107561698932,-5.199999993067038,22463291.0,42.7449627900584,0,confirmed
1995,42.02,42.02,47.453,47.453,34.299,6.188,1.639,,,41.265,6.188,13.040271426464079,86.95972857353591,,,,,,,,,,,104.912,33.8914,88.324143,26.04259559220842,-0.9000000054614503,22917589.0,43.4782464742032,0,confirmed
1996,42.45,42.45,45.419,45.419,31.998,6.525,1.827,,,38.894,6.525,14.366234395297123,85.63376560470289,,,,,,,,,,,108.1291,33.784,90.685187,26.485319718073395,1.70000000306203,23351981.0,44.2710582086815,0,confirmed
1997,42.975,42.975,46.054,46.054,32.913000000000004,5.777,1.881,,,40.277,5.777,12.54397012203066,87.45602987796934,,,,,,,,,,,108.0143,34.2325,93.785636,27.862556342503183,5.199999996564017,23758960.0,45.1051737362168,0,confirmed
1998,41.959,41.959,45.934999999999995,45.934999999999995,32.802,5.793,1.875,,,40.141999999999996,5.793,12.61129857407206,87.38870142592793,,,,,,,,,,,123.4347,36.9015,98.781636,29.060646265526962,4.30000000106287,24134929.0,45.9623687995325,0,confirmed
1999,42.369,42.369,45.370999999999995,45.370999999999995,31.613,7.059,1.852,,,38.312,7.059,15.558396332459063,84.44160366754095,,,,,,,,,,,124.2258,35.1199,95.385214,30.310254055465958,4.300000001793961,24476008.0,46.8244191413524,0,confirmed
2000,43.808,43.808,46.861999999999995,46.861999999999995,36.714,3.528,1.913,,,43.333999999999996,3.528,7.528487900644447,92.47151209935555,,,,,,12.54,13.09,,,,131.5221,38.6731,100.0,31.47265229853561,3.835000000140326,24787054.0,47.6731005044,0,confirmed
2001,41.093,41.093,47.959,47.959,36.892,4.356,1.958,,,43.603,4.356,9.08275818928668,90.9172418107133,,,,,,12.55,13.09,,,,132.6334,38.2915,97.331625,32.78312263322805,4.163838249988899,25090283.0,48.4901886313987,0,confirmed
2002,41.205,41.205,49.397000000000006,49.397000000000006,36.707,6.024,2.017,,,43.373000000000005,6.024,12.195072575257605,87.8049274247424,,,,,,12.55,13.09,,,,136.8801,38.2733,95.280227,34.08575614014536,3.9734881923572374,25399980.0,49.2574592650723,0,confirmed
2003,40.145,40.145,48.742000000000004,48.742000000000004,34.402,8.169,1.99,,,40.573,8.169,16.759673382298633,83.24032661770136,,,,,,15.43,12.95,,,,128.9701,35.4077,91.028002,35.52847918773934,4.232627381543637,25711259.0,49.9566881481443,0,confirmed
2004,40.345,40.345,49.699,49.699,37.665,6.1000000000000005,2.029,,,43.599,6.1000000000000005,12.273888810640054,87.72611118935994,,,,,,18.02,14.01,,,,132.1457,38.4279,96.736879,38.17499581759332,7.449000605596638,26029350.0,50.5696510233382,0,confirmed
2005,39.333,39.333,47.665,47.665,33.634,8.927,1.946,,,38.738,8.927,18.72862687506556,81.27137312493444,,,,,,17.54,13.72,,,,125.5292,34.6601,92.528375,40.8281607738708,6.950007195690972,26356975.0,51.0781236333777,0,confirmed
2006,42.326,42.326,49.373000000000005,49.373000000000005,39.765,4.7,2.016,,,44.673,4.7,9.519372936625281,90.48062706337473,,,,,,17.99,13.73,,,,134.4224,39.07,98.770636,43.87043788927486,7.4514184762176825,26699043.0,51.4638817209862,0,confirmed
2007,43.441,43.441,49.010999999999996,49.010999999999996,40.298,4.666,2.001,,,44.345,4.666,9.520311766746243,90.47968823325377,,,,,,13.07,13.72,,,,131.3948,38.2647,98.103608,48.026286798048,9.473005305445398,27076008.0,51.7087010288873,0,confirmed
2008,42.919,42.919,50.217999999999996,50.217999999999996,42.202,4.488,2.05,,,45.73,4.488,8.937034529451592,91.0629654705484,,,,,,23.0,13.95,,,,137.2899,40.6286,93.112621,52.36265756393711,9.02916101784777,27494774.0,51.7943572998047,0,confirmed
2009,42.389,42.389,50.10300000000001,50.10300000000001,40.535000000000004,6.4830000000000005,2.045,,,43.620000000000005,6.4830000000000005,12.939344949404227,87.06065505059577,,,,,,18.68,13.94,,,,124.512,38.5441,90.509303,56.57834021283286,8.050933327339663,27939328.0,51.6105041503906,0,confirmed
2010,41.823,41.823,51.975,51.975,40.901,8.192,2.121,,,43.783,8.192,15.761423761423762,84.23857623857623,12555.4,10762.5,1792.9,,,16.54,14.28,2513018.85,2011462.83,124.9348888042838,135.8014,37.9371,88.19282,60.876691748348684,7.5971679610016025,28385506.0,51.3321647644043,0,confirmed
