year,population,gdp,electricity_demand,electricity_generation,electricity_demand_per_capita,electricity_share_energy,net_elec_imports_share_demand,per_capita_electricity,coal_electricity,gas_electricity,hydro_electricity,solar_electricity,wind_electricity,fossil_electricity,low_carbon_electricity,renewables_electricity,primary_energy_consumption,energy_per_gdp,energy_per_capita,gas_consumption,coal_consumption,oil_consumption,source
1985,17875337.0,130801915000.0,,47.939,,10.526,,2681.852,,,5.431,0.0,0.0,,5.431,5.431,466.061,3.563,26072.84,311.379,17.305,121.316,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1986,18395621.0,129229072000.0,,52.171,,11.638,,2836.055,,,4.618,0.0,0.0,,4.618,4.618,457.333,3.539,24860.992,300.173,19.591,123.913,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1987,18930068.0,128382920000.0,,54.755,,11.817,,2892.488,,,6.771,0.0,0.0,,6.771,6.771,476.599,3.712,25176.807,314.294,16.326,125.959,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1988,19460634.0,139357125000.0,,50.59,,10.861,,2599.607,,,7.164,0.0,0.0,,7.164,7.164,479.795,3.443,24654.627,309.874,17.958,130.779,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1989,19977192.0,142094069000.0,,55.874,,11.503,,2796.89,,,5.502,0.0,0.0,,5.502,5.502,496.505,3.494,24853.578,327.534,20.244,132.457,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1990,20464963.0,139398700000.0,,56.325,,11.117,,2752.265,,,6.648,0.0,0.0,,6.648,6.648,519.68,3.728,25393.666,348.639,21.223,130.16,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1991,20962908.0,136577628581.0,,54.165,,10.825,,2583.85,,,6.031,0.0,0.0,,6.031,6.031,512.175,3.75,24432.426,351.374,19.421,123.546,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1992,21485095.0,119510821474.0,,50.911,,10.757,,2369.596,,,6.281,0.0,0.0,,6.281,6.281,485.564,4.063,22600.035,353.134,15.281,98.576,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1993,21987960.0,114918068077.0,,49.149,,9.995,,2235.269,,,7.358,0.0,0.0,,7.358,7.358,506.128,4.404,23018.412,384.915,12.43,87.025,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1994,22463295.0,107242116434.0,,47.8,,9.823,,2127.916,,,7.156,0.0,0.0,,7.156,7.156,500.608,4.668,22285.578,391.095,12.554,75.798,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1995,22917588.0,104615642206.0,,47.453,,9.59,,2070.593,,,6.188,0.0,0.0,,6.188,6.188,506.948,4.846,22120.496,400.815,10.374,77.462,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
1996,23351981.0,104748209480.0,,45.419,,8.917,,1944.974,,,6.525,0.0,0.0,,6.525,6.525,522.136,4.985,22359.395,417.34,9.692,75.81,"Our World In Data — energy dataset (Ember + EI Stat Review, fetched live)"
