id,title_en,category,relevance,purpose,theme,monthly,n_rows,n_time,t_start,t_end,median,magnitude_order,top_entities
2402,Construction work volume (annual),construction,PRIMARY,CONSTRUCTION DRIVER (load growth proxy),national_with_regions,0,221,15,2010,2024,125.8,5,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
236,Population density (per km²),demography,PRIMARY,POPULATION DRIVER,national_with_regions,0,221,16,2010,2025,257.75,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
246,"Permanent population, total (thsd)",demography,PRIMARY,POPULATION DRIVER,national_with_regions,0,221,17,2010,2026,162.2,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
247,"Permanent population, rural (thsd)",demography,PRIMARY,POPULATION DRIVER,national_with_regions,0,221,17,2010,2026,80.2,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
248,"Permanent population, urban (thsd)",demography,PRIMARY,POPULATION DRIVER,national_with_regions,0,221,17,2010,2026,60.6,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
376,Thermal power capacity (MW),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,12276.5,4,Republic of Uzbekistan
380,Hydroelectric capacity (MW),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,1880.4,3,Republic of Uzbekistan
440,Electricity production by region (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_with_regions,0,15,15,2010,2024,658.1,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
446,Solar PV power output (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,10,2015,2024,0.5,3,Republic of Uzbekistan
458,Wind power output (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,11,2015,2024,0.0,2,Republic of Uzbekistan
588,Total installed power capacity (MW),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,14191.4,4,Republic of Uzbekistan
2680,Natural gas extraction (mln m3),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,56132.1,4,Republic of Uzbekistan
2681,Natural gas consumption (mln m3),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,47343.1,4,Republic of Uzbekistan
2682,Coal extraction (thsd tonnes),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,4090.0,3,Republic of Uzbekistan
2683,Coal consumption (thsd tonnes),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,5698.6,4,Republic of Uzbekistan
