scope,variable,year,has_value
national,thermal_capacity_mw,2010,1
national,thermal_capacity_mw,2011,1
national,thermal_capacity_mw,2012,1
national,thermal_capacity_mw,2013,1
national,thermal_capacity_mw,2014,1
national,thermal_capacity_mw,2015,1
national,thermal_capacity_mw,2016,1
national,thermal_capacity_mw,2017,1
national,thermal_capacity_mw,2018,1
national,thermal_capacity_mw,2019,1
national,thermal_capacity_mw,2020,1
national,thermal_capacity_mw,2021,1
national,thermal_capacity_mw,2022,1
national,thermal_capacity_mw,2023,1
national,thermal_capacity_mw,2024,1
national,hydro_capacity_mw,2010,1
national,hydro_capacity_mw,2011,1
national,hydro_capacity_mw,2012,1
national,hydro_capacity_mw,2013,1
national,hydro_capacity_mw,2014,1
national,hydro_capacity_mw,2015,1
national,hydro_capacity_mw,2016,1
national,hydro_capacity_mw,2017,1
national,hydro_capacity_mw,2018,1
national,hydro_capacity_mw,2019,1
national,hydro_capacity_mw,2020,1
national,hydro_capacity_mw,2021,1
national,hydro_capacity_mw,2022,1
national,hydro_capacity_mw,2023,1
national,hydro_capacity_mw,2024,1
national,solar_output_mln_kwh,2010,0
national,solar_output_mln_kwh,2011,0
national,solar_output_mln_kwh,2012,0
national,solar_output_mln_kwh,2013,0
national,solar_output_mln_kwh,2014,0
national,solar_output_mln_kwh,2015,1
national,solar_output_mln_kwh,2016,1
national,solar_output_mln_kwh,2017,1
national,solar_output_mln_kwh,2018,1
national,solar_output_mln_kwh,2019,1
national,solar_output_mln_kwh,2020,1
national,solar_output_mln_kwh,2021,1
national,solar_output_mln_kwh,2022,1
national,solar_output_mln_kwh,2023,1
national,solar_output_mln_kwh,2024,1
national,wind_output_mln_kwh,2010,0
national,wind_output_mln_kwh,2011,0
national,wind_output_mln_kwh,2012,0
national,wind_output_mln_kwh,2013,0
national,wind_output_mln_kwh,2014,0
national,wind_output_mln_kwh,2015,1
national,wind_output_mln_kwh,2016,1
national,wind_output_mln_kwh,2017,1
national,wind_output_mln_kwh,2018,1
national,wind_output_mln_kwh,2019,1
national,wind_output_mln_kwh,2020,1
national,wind_output_mln_kwh,2021,1
national,wind_output_mln_kwh,2022,1
national,wind_output_mln_kwh,2023,1
national,wind_output_mln_kwh,2024,1
national,oil_production_kt,2010,1
national,oil_production_kt,2011,1
national,oil_production_kt,2012,1
national,oil_production_kt,2013,1
national,oil_production_kt,2014,1
national,oil_production_kt,2015,1
national,oil_production_kt,2016,1
national,oil_production_kt,2017,1
national,oil_production_kt,2018,1
national,oil_production_kt,2019,1
national,oil_production_kt,2020,1
national,oil_production_kt,2021,1
national,oil_production_kt,2022,1
national,oil_production_kt,2023,1
national,oil_production_kt,2024,1
national,gas_condensate_production_kt,2010,1
national,gas_condensate_production_kt,2011,1
national,gas_condensate_production_kt,2012,1
national,gas_condensate_production_kt,2013,1
national,gas_condensate_production_kt,2014,1
national,gas_condensate_production_kt,2015,1
national,gas_condensate_production_kt,2016,1
national,gas_condensate_production_kt,2017,1
national,gas_condensate_production_kt,2018,1
national,gas_condensate_production_kt,2019,1
national,gas_condensate_production_kt,2020,1
national,gas_condensate_production_kt,2021,1
national,gas_condensate_production_kt,2022,1
national,gas_condensate_production_kt,2023,1
national,gas_condensate_production_kt,2024,1
national,gasoline_production_kt,2010,1
national,gasoline_production_kt,2011,1
national,gasoline_production_kt,2012,1
national,gasoline_production_kt,2013,1
national,gasoline_production_kt,2014,1
national,gasoline_production_kt,2015,1
national,gasoline_production_kt,2016,1
national,gasoline_production_kt,2017,1
national,gasoline_production_kt,2018,1
national,gasoline_production_kt,2019,1
national,gasoline_production_kt,2020,1
national,gasoline_production_kt,2021,1
national,gasoline_production_kt,2022,1
national,gasoline_production_kt,2023,1
national,gasoline_production_kt,2024,1
national,total_power_capacity_mw,2010,1
national,total_power_capacity_mw,2011,1
national,total_power_capacity_mw,2012,1
national,total_power_capacity_mw,2013,1
national,total_power_capacity_mw,2014,1
national,total_power_capacity_mw,2015,1
national,total_power_capacity_mw,2016,1
national,total_power_capacity_mw,2017,1
national,total_power_capacity_mw,2018,1
national,total_power_capacity_mw,2019,1
national,total_power_capacity_mw,2020,1
national,total_power_capacity_mw,2021,1
national,total_power_capacity_mw,2022,1
national,total_power_capacity_mw,2023,1
national,total_power_capacity_mw,2024,1
