region,year,elec_production_gwh,thermal_energy_production_kkcal,elec_consumption_subscribers_gwh
Andijan region,2010,774.0,78.2,
Andijan region,2011,751.8,81.6,
Andijan region,2012,632.0,79.0,
Andijan region,2013,569.8,76.9,
Andijan region,2014,438.5,69.5,
Andijan region,2015,674.1,120.8,
Andijan region,2016,647.9,121.1,2406.3
Andijan region,2017,847.4,119.0,2639.5
Andijan region,2018,769.5,107.7,3975.4
Andijan region,2019,623.6,115.7,2627.3
Andijan region,2020,372.6,92.8,3479.5
Andijan region,2021,489.2,89.9,3945.1
Andijan region,2022,791.4,0.4,4047.2
Andijan region,2023,658.1,75.4,3909.5
Andijan region,2024,820.0,110.5,4457.3
Bukhara region,2010,5.7,526.6,
Bukhara region,2011,7.6,572.7,
Bukhara region,2012,6.9,552.3,
Bukhara region,2013,6.4,546.4,
Bukhara region,2014,8.9,1054.1,
Bukhara region,2015,4.9,838.0,
Bukhara region,2016,6.8,770.5,2580.3
Bukhara region,2017,9.3,812.8,2678.2
Bukhara region,2018,6.5,927.1,3338.8
Bukhara region,2019,5.5,799.4,2437.0
Bukhara region,2020,6.2,841.4,3112.9
Bukhara region,2021,7.4,780.4,3444.7
Bukhara region,2022,1578.3,750.4,3540.5
Bukhara region,2023,2029.3,711.5,3573.5
Bukhara region,2024,2582.0,684.5,3988.8
Fergana region,2010,455.2,2885.3,
Fergana region,2011,440.6,2996.5,
Fergana region,2012,394.8,2830.5,
Fergana region,2013,342.6,2582.2,
Fergana region,2014,351.0,2679.9,
Fergana region,2015,312.8,2377.7,
Fergana region,2016,321.2,2200.4,3829.4
Fergana region,2017,315.5,2216.9,3534.0
Fergana region,2018,286.2,2145.7,4965.3
Fergana region,2019,251.0,6211.1,4591.8
Fergana region,2020,264.4,1835.1,4787.7
Fergana region,2021,395.8,1744.9,5319.7
Fergana region,2022,393.7,1257.6,5369.0
Fergana region,2023,401.1,1556.49,5473.4
Fergana region,2024,479.2,1714.2,6644.4
Jizzakh region,2010,0.0,12.4,
Jizzakh region,2011,0.0,11.3,
Jizzakh region,2012,0.0,49.8,
Jizzakh region,2013,0.0,1.6,
Jizzakh region,2014,0.0,0.0,
Jizzakh region,2015,0.0,0.0,
Jizzakh region,2016,0.01,0.0,1518.8
Jizzakh region,2017,0.5,125.0,1581.4
Jizzakh region,2018,0.0,143.0,2177.8
Jizzakh region,2019,0.0,153.0,1924.4
Jizzakh region,2020,0.0,9.5,1768.6
Jizzakh region,2021,0.0,7.6,2071.4
Jizzakh region,2022,0.0,7.4,2025.0
Jizzakh region,2023,0.5,0.0,2052.2
Jizzakh region,2024,1.1,0.0,2661.1
Kashkadarya region,2010,5837.7,3832.1,
Kashkadarya region,2011,6143.1,3866.0,
Kashkadarya region,2012,5902.4,4081.3,
Kashkadarya region,2013,6026.8,4234.3,
Kashkadarya region,2014,6706.3,6316.4,
Kashkadarya region,2015,6310.9,6255.4,
Kashkadarya region,2016,7344.3,6119.2,4857.6
Kashkadarya region,2017,13014.0,5952.4,5116.1
Kashkadarya region,2018,13860.2,5283.0,5561.3
Kashkadarya region,2019,13052.3,3367.2,5594.6
Kashkadarya region,2020,9770.7,3175.6,5169.2
Kashkadarya region,2021,13349.7,3214.9,5566.3
Kashkadarya region,2022,8499.0,3221.5,5800.5
Kashkadarya region,2023,8174.9,3368.6,5852.8
Kashkadarya region,2024,10099.9,2764.0,6554.8
Khorezm region,2010,752.0,61.7,
Khorezm region,2011,236.1,120.2,
Khorezm region,2012,662.3,112.4,
Khorezm region,2013,391.5,236.9,
Khorezm region,2014,293.3,226.8,
Khorezm region,2015,648.8,269.6,
Khorezm region,2016,443.8,519.6,1090.6
Khorezm region,2017,604.2,267.1,1118.1
Khorezm region,2018,136.3,181.2,1799.3
Khorezm region,2019,564.1,217.0,1765.7
Khorezm region,2020,209.5,166.9,1558.5
Khorezm region,2021,162.9,194.0,1819.6
Khorezm region,2022,651.7,137.0,1903.8
Khorezm region,2023,1415.9,131.1,2031.4
Khorezm region,2024,1291.1,122.2,2387.6
Namangan region,2010,0.2,66.0,
Namangan region,2011,0.1,87.8,
Namangan region,2012,0.3,77.1,
Namangan region,2013,0.6,80.7,
Namangan region,2014,0.1,77.4,
Namangan region,2015,0.1,72.9,
Namangan region,2016,0.4,188.5,2612.9
Namangan region,2017,2.5,125.6,2789.6
Namangan region,2018,0.0,114.7,3898.9
Namangan region,2019,456.1,88.7,3099.1
Namangan region,2020,5624.6,90.9,3597.3
Namangan region,2021,7083.9,73.4,3953.3
Namangan region,2022,6694.0,73.4,4055.1
Namangan region,2023,7025.3,39.3,4357.4
Namangan region,2024,6561.6,131.8,5508.2
Navoi region,2010,7376.6,4224.0,
Navoi region,2011,7660.7,4425.7,
Navoi region,2012,7119.6,4359.2,
Navoi region,2013,8872.6,4135.6,
Navoi region,2014,8811.4,4124.5,
Navoi region,2015,8864.0,3996.2,
Navoi region,2016,9259.7,3819.8,6895.0
Navoi region,2017,8542.6,3694.6,7002.6
Navoi region,2018,8249.3,4024.9,7431.4
Navoi region,2019,9786.3,4105.2,8775.3
Navoi region,2020,11776.8,4016.9,7920.8
Navoi region,2021,11117.5,4663.3,7216.0
Navoi region,2022,11541.6,4813.5,6648.8
Navoi region,2023,10718.9,4526.9,6945.8
Navoi region,2024,10847.1,4577.3,6907.7
Republic of Karakalpakstan,2010,3100.2,32.7,
Republic of Karakalpakstan,2011,3306.3,32.2,
Republic of Karakalpakstan,2012,3100.5,39.7,
Republic of Karakalpakstan,2013,3213.8,44.4,
Republic of Karakalpakstan,2014,3466.6,43.3,
Republic of Karakalpakstan,2015,3451.3,42.9,
Republic of Karakalpakstan,2016,3632.7,35.3,1041.9
Republic of Karakalpakstan,2017,3446.1,57.1,1088.7
Republic of Karakalpakstan,2018,3855.9,45.0,1578.3
Republic of Karakalpakstan,2019,3786.1,45.6,1690.1
Republic of Karakalpakstan,2020,4392.4,46.0,1372.9
Republic of Karakalpakstan,2021,5233.9,62.9,1470.2
Republic of Karakalpakstan,2022,5373.9,55.2,1508.4
Republic of Karakalpakstan,2023,5152.1,43.1,1674.1
Republic of Karakalpakstan,2024,5079.0,42.6,915.6
Samarkand region,2010,5.8,108.1,
Samarkand region,2011,4.1,100.0,
Samarkand region,2012,5.2,134.5,
Samarkand region,2013,2.2,125.6,
Samarkand region,2014,2.4,124.2,
Samarkand region,2015,3.7,114.1,
Samarkand region,2016,6.3,110.1,2947.5
Samarkand region,2017,11.7,75.8,3247.8
Samarkand region,2018,75.2,63.6,4425.8
Samarkand region,2019,80.2,91.5,2769.7
Samarkand region,2020,73.5,90.6,4130.1
Samarkand region,2021,70.0,68.5,4603.3
Samarkand region,2022,38.8,44.0,4795.9
Samarkand region,2023,482.8,18.0,5067.2
Samarkand region,2024,515.0,0.0,6325.8
Surkhandarya region,2010,78.6,106.3,
Surkhandarya region,2011,78.5,87.6,
Surkhandarya region,2012,73.1,71.4,
Surkhandarya region,2013,75.7,70.0,
Surkhandarya region,2014,81.1,54.0,
Surkhandarya region,2015,82.9,71.5,
Surkhandarya region,2016,94.4,62.0,2148.1
Surkhandarya region,2017,103.8,85.0,2230.9
Surkhandarya region,2018,87.7,75.7,5653.0
Surkhandarya region,2019,51.1,70.4,2364.3
Surkhandarya region,2020,82.4,39.0,2633.5
Surkhandarya region,2021,180.8,41.4,2861.8
Surkhandarya region,2022,232.3,38.4,2737.7
Surkhandarya region,2023,433.6,25.99,2863.4
Surkhandarya region,2024,653.7,28.9,3410.9
Syrdarya region,2010,15278.3,281.1,
Syrdarya region,2011,15509.9,272.9,
Syrdarya region,2012,16940.4,235.8,
Syrdarya region,2013,16507.8,256.1,
Syrdarya region,2014,16155.1,229.2,
Syrdarya region,2015,16718.4,276.6,
Syrdarya region,2016,17373.5,267.1,1177.3
Syrdarya region,2017,15535.8,199.5,1159.4
Syrdarya region,2018,16189.1,223.8,1455.1
Syrdarya region,2019,14974.5,235.4,1748.9
Syrdarya region,2020,15249.1,276.3,1283.2
Syrdarya region,2021,16139.1,148.4,1447.6
Syrdarya region,2022,16991.0,198.5,1445.3
Syrdarya region,2023,16855.5,140.1,1498.6
Syrdarya region,2024,17532.8,195.6,1674.8
Tashkent city,2010,376.3,11312.4,
Tashkent city,2011,390.2,10418.5,
Tashkent city,2012,391.2,12751.5,
Tashkent city,2013,386.9,11466.7,
Tashkent city,2014,634.9,12737.5,
Tashkent city,2015,518.0,12450.2,
Tashkent city,2016,570.2,12041.8,4971.7
Tashkent city,2017,636.3,11436.6,5325.0
Tashkent city,2018,384.1,11868.3,5615.8
Tashkent city,2019,399.1,12795.9,5532.9
Tashkent city,2020,433.5,13547.5,5667.2
Tashkent city,2021,480.6,13488.5,6460.7
Tashkent city,2022,1912.2,11896.3,6912.1
Tashkent city,2023,4211.7,10650.4,7682.1
Tashkent city,2024,6273.4,9020.0,7434.6
Tashkent region,2010,17935.7,4208.7,
Tashkent region,2011,18277.2,4038.3,
Tashkent region,2012,17770.9,3932.2,
Tashkent region,2013,18221.5,3968.3,
Tashkent region,2014,18791.5,4200.3,
Tashkent region,2015,20049.6,5602.5,
Tashkent region,2016,19379.5,3785.9,6981.3
Tashkent region,2017,17716.3,3740.7,7235.1
Tashkent region,2018,18991.1,3817.7,8868.5
Tashkent region,2019,19470.0,3669.6,9253.6
Tashkent region,2020,18228.0,4063.4,7358.5
Tashkent region,2021,16653.4,2248.2,6089.1
Tashkent region,2022,19570.8,3617.8,8319.9
Tashkent region,2023,20445.1,3109.2,9854.9
Tashkent region,2024,20003.2,3130.7,6618.9
