year,thermal_capacity_mw,hydro_capacity_mw,solar_output_mln_kwh,wind_output_mln_kwh,oil_production_kt,gas_condensate_production_kt,gasoline_production_kt,total_power_capacity_mw,diesel_production_kt,aviakerosene_production_kt,aviagasoline_production_kt,fuel_oil_production_kt,nat_gas_production_mcm,nat_gas_consumption_mcm,coal_production_kt,coal_consumption_kt,elec_supply_enterprises_gwh,elec_supply_housing_gwh
2010,10762.5,1792.9,,,2017.9,2019.5,1413.8,12555.4,1127.9,339.0,1.0,287.2,65958.5,52794.3,3629.4,2644.5,2243.3,11449.3
2011,10758.2,1787.9,,,1901.6,1835.6,1323.2,12546.1,1052.0,280.8,0.9,252.1,63040.9,54571.9,3844.8,2831.1,2412.4,11667.3
2012,10758.7,1822.2,,,1571.7,1765.4,1237.2,12580.9,1009.3,258.2,0.8,255.2,61531.0,47343.1,3752.9,3831.0,2647.6,12194.1
2013,11281.0,1822.0,,,1279.8,1887.4,1164.3,13103.0,1125.3,235.5,1.5,202.3,58305.4,46318.4,4090.0,5720.9,2821.1,12045.8
2014,11165.0,1871.0,,,1031.3,1835.8,1068.1,13036.0,982.1,159.8,0.8,119.1,54161.2,43273.8,4396.8,5264.5,3309.2,12222.5
2015,11335.4,1880.4,0.003,0.0,1000.1,1728.0,1064.0,13215.8,1286.4,156.5,0.8,89.8,54600.5,41524.5,3488.0,4235.6,3451.6,12548.7
2016,12221.7,1880.4,0.3,0.0,867.9,1747.5,1134.4,14102.1,1008.3,181.5,1.0,93.4,56132.1,43690.3,3867.3,5003.3,5242.3,11195.7
2017,12516.4,1857.5,0.7,0.0,813.6,1953.0,1111.9,14373.9,1016.7,184.9,1.0,111.8,56642.2,46065.3,4038.6,4724.6,4040.6,12779.8
2018,12276.5,1914.9,0.2,0.0,745.7,2145.2,1147.0,14191.4,1080.8,191.5,1.0,143.1,61585.5,48343.1,4174.4,6768.0,4970.9,13593.8
2019,14031.9,1907.5,0.1,15.5,698.7,2116.7,1025.1,15939.4,1030.5,156.6,0.5,120.9,60711.9,49711.0,4047.9,5698.6,4970.9,13478.8
2020,14620.4,2020.6,0.03,0.0,739.4,1291.0,1018.7,16643.0,931.5,123.0,0.0,178.0,49768.2,46057.5,4133.1,7988.2,5238.9,15549.5
2021,14440.3,2051.9,49.0,1.2,774.1,1323.9,1128.2,16493.3,798.7,118.0,0.4,307.9,53802.0,51883.9,5056.3,7056.5,7483.9,15461.8
2022,15232.3,2225.2,435.8,0.0,787.9,1287.1,1258.9,17658.9,894.2,180.5,0.02,127.8,51678.4,48563.7,5356.2,8308.8,7175.3,17470.8
2023,16319.4,3831.9,622.4,7.2,778.3,1199.4,1336.0,20400.5,1188.7,287.4,0.3,164.1,46710.4,47559.9,6519.6,11868.2,7592.3,17839.5
2024,15683.9,3134.2,3965.2,789.6,713.1,1188.5,1311.5,21501.4,1484.9,377.3,0.0,272.4,41523.7,47057.4,8464.4,10736.4,7635.7,16293.1
