year,population_total,population_rural,population_urban,population_density,avg_nominal_wage_uzs,employed_persons,total_income_population_uzs,gini_coefficient,poverty_rate_pct,low_income_share_pct
2010,28001.4,13575.5,14425.9,62.4,,11628.4,62631.6,0.295,,17.7
2011,29123.4,13558.4,14420.0,64.9,,11919.1,85933.5,0.289,,16.0
2012,29555.4,14412.2,15143.2,65.8,,12223.8,104263.0,0.289,,15.0
2013,29993.5,14623.4,15370.1,66.8,,12523.3,126268.0,0.288,,14.1
2014,30492.8,14937.6,15555.2,67.9,,12818.4,146392.9,0.28,,13.3
2015,31022.5,15274.5,15748.0,69.1,,13058.3,169344.3,0.274,,12.8
2016,31575.3,15611.4,15963.9,70.3,,13298.4,197962.4,0.264,,12.3
2017,32120.5,15869.7,16250.8,71.5,1251538.0,13520.3,257361.5,0.262,,11.9
2018,32656.7,16124.0,16532.7,72.7,1542598.3,13273.1,322949.3,0.262,,11.4
2019,33255.5,16448.8,16806.7,74.1,1946778.3,13541.1,391389.1,0.262,,11.0
2020,33905.2,16761.1,17144.1,75.5,2227141.2,13236.4,441203.7,0.276,,11.5
2021,34558.9,17048.5,17510.4,77.0,2662002.8,13538.9,550747.3,0.273,17.0,
2022,35271.3,17335.6,17935.7,78.6,3204301.4,13706.2,667418.6,0.283,14.1,
2023,36024.9,17654.0,18370.9,80.2,3799613.5,14014.2,779085.7,0.288,11.0,
2024,36799.8,18028.7,18771.1,82.0,4404167.8,14261.9,954252.0,0.286,8.9,
2025,37543.2,18403.8,19139.4,83.6,,14933.9,1134252.7,0.279,5.8,
2026,38236.7,18765.0,19471.7,,,,,,,
