region,year,series_id,value
Republic of Karakalpakstan,2010,1178,420.9
Republic of Karakalpakstan,2011,1178,532.2
Republic of Karakalpakstan,2012,1178,607.5
Republic of Karakalpakstan,2013,1178,793.9
Republic of Karakalpakstan,2014,1178,981.4
Republic of Karakalpakstan,2015,1178,1343.5
Republic of Karakalpakstan,2016,1178,2364.2
Republic of Karakalpakstan,2017,1178,3701.4
Republic of Karakalpakstan,2018,1178,5879.3
Republic of Karakalpakstan,2019,1178,6759.9
Republic of Karakalpakstan,2020,1178,7316.0
Republic of Karakalpakstan,2021,1178,8589.6
Republic of Karakalpakstan,2022,1178,8981.4
Republic of Karakalpakstan,2023,1178,8942.7
Republic of Karakalpakstan,2024,1178,12064.0
Andijan region,2010,1178,1800.8
Andijan region,2011,1178,2126.6
Andijan region,2012,1178,2535.4
Andijan region,2013,1178,3336.5
Andijan region,2014,1178,3695.4
Andijan region,2015,1178,3379.0
Andijan region,2016,1178,2712.6
Andijan region,2017,1178,4442.4
Andijan region,2018,1178,9033.2
Andijan region,2019,1178,10694.0
Andijan region,2020,1178,11519.2
Andijan region,2021,1178,11156.6
Andijan region,2022,1178,16529.9
Andijan region,2023,1178,21964.0
Andijan region,2024,1178,26439.6
Bukhara region,2010,1178,1016.1
Bukhara region,2011,1178,1299.0
Bukhara region,2012,1178,1430.2
Bukhara region,2013,1178,1763.5
Bukhara region,2014,1178,2243.3
Bukhara region,2015,1178,2857.2
Bukhara region,2016,1178,3044.6
Bukhara region,2017,1178,3458.6
Bukhara region,2018,1178,4575.1
Bukhara region,2019,1178,7750.3
Bukhara region,2020,1178,9080.1
Bukhara region,2021,1178,10587.4
Bukhara region,2022,1178,13647.2
Bukhara region,2023,1178,15719.0
Bukhara region,2024,1178,20501.3
Jizzakh region,2010,1178,457.9
Jizzakh region,2011,1178,560.6
Jizzakh region,2012,1178,657.1
Jizzakh region,2013,1178,767.6
Jizzakh region,2014,1178,965.6
Jizzakh region,2015,1178,1167.3
Jizzakh region,2016,1178,1553.1
Jizzakh region,2017,1178,1941.2
Jizzakh region,2018,1178,2675.6
Jizzakh region,2019,1178,3354.4
Jizzakh region,2020,1178,4170.8
Jizzakh region,2021,1178,6253.4
Jizzakh region,2022,1178,7812.5
Jizzakh region,2023,1178,12871.5
Jizzakh region,2024,1178,16357.3
Kashkadarya region,2010,1178,1857.1
Kashkadarya region,2011,1178,1833.8
Kashkadarya region,2012,1178,2166.7
Kashkadarya region,2013,1178,2392.1
Kashkadarya region,2014,1178,2458.0
Kashkadarya region,2015,1178,2914.8
Kashkadarya region,2016,1178,3150.7
Kashkadarya region,2017,1178,3509.9
Kashkadarya region,2018,1178,4568.0
Kashkadarya region,2019,1178,6270.9
Kashkadarya region,2020,1178,4417.4
Kashkadarya region,2021,1178,5567.2
Kashkadarya region,2022,1178,6566.7
Kashkadarya region,2023,1178,8169.2
Kashkadarya region,2024,1178,10865.8
Navoi region,2010,1178,4683.4
