year,uzstat_292,uzstat_293,uzstat_298,uzstat_301,uzstat_304,uzstat_306,uzstat_308,uzstat_309,uzstat_313,uzstat_314,uzstat_316,uzstat_317,uzstat_318,uzstat_321,uzstat_322,uzstat_325,uzstat_327,uzstat_331,uzstat_333,uzstat_334,uzstat_336,uzstat_338,uzstat_340,uzstat_342,uzstat_345,uzstat_349,uzstat_352,uzstat_355,uzstat_360,uzstat_363,uzstat_365,uzstat_366,uzstat_372,uzstat_373,uzstat_376,uzstat_379,uzstat_380,uzstat_386,uzstat_395,uzstat_399,uzstat_404,uzstat_408,uzstat_410,uzstat_443,uzstat_446,uzstat_449,uzstat_457,uzstat_458,uzstat_460,uzstat_463,uzstat_467,uzstat_474,uzstat_487,uzstat_498,uzstat_507,uzstat_508,uzstat_510,uzstat_514,uzstat_516,uzstat_517,uzstat_523,uzstat_525,uzstat_528,uzstat_536,uzstat_538,uzstat_543,uzstat_545,uzstat_549,uzstat_550,uzstat_558,uzstat_559,uzstat_560,uzstat_563,uzstat_565,uzstat_568,uzstat_573,uzstat_579,uzstat_585,uzstat_588,uzstat_592,uzstat_594,uzstat_596,uzstat_603,uzstat_606,uzstat_612,uzstat_614,uzstat_618,uzstat_619,uzstat_622,uzstat_624,uzstat_634,uzstat_644,uzstat_645,uzstat_646,uzstat_648,uzstat_666,uzstat_668,uzstat_671,uzstat_673,uzstat_675,uzstat_677,uzstat_679,uzstat_682,uzstat_683,uzstat_685,uzstat_686,uzstat_1143,uzstat_1151,uzstat_1203,uzstat_1261,uzstat_1262,uzstat_1263,uzstat_1264,uzstat_1265,uzstat_1266,uzstat_1267,uzstat_1272,uzstat_1294,uzstat_1295,uzstat_1297,uzstat_1298,uzstat_1302,uzstat_1303,uzstat_1317,uzstat_1340,uzstat_1341,uzstat_1342,uzstat_1577,uzstat_1578,uzstat_2676,uzstat_2677,uzstat_2678,uzstat_2679,uzstat_2680,uzstat_2681,uzstat_2682,uzstat_2683,uzstat_2685,uzstat_2686,uzstat_2688,uzstat_2689,uzstat_2690,uzstat_2691,uzstat_2692,uzstat_2833,uzstat_3003,uzstat_3098,uzstat_3099,uzstat_3100,uzstat_3101,uzstat_3102,uzstat_3103,uzstat_3167,uzstat_3168,uzstat_3169,uzstat_3170,uzstat_3171,uzstat_3172,uzstat_3177,uzstat_3178,uzstat_3179,uzstat_3180,uzstat_3263,uzstat_3264,uzstat_3265,uzstat_3266,uzstat_3267,uzstat_3268,uzstat_3270,uzstat_3271,uzstat_3272,uzstat_3273,uzstat_3274,uzstat_3275,uzstat_3276,uzstat_3277,uzstat_3278,uzstat_3279,uzstat_3281,uzstat_3282,uzstat_3283,uzstat_3284,uzstat_3438
2000,,1.9,,0.7,31.1,,15.4,,1.3,,,0.8,7.5,,0.1,37.6,0.0,3.8,0.5,,24.7,16.7,2.1,51.4,0.04,0.8,,7068.0,,4587.0,,6731.0,,77.5,,10.3,,25.9,673.8,31.2,1387.1,1096.9,,,,,,,,,,,120.1,15.2,54.6,,,,,804.6,,42.4,,15.0,,,,,3.9,,,30.9,0.9,,,2.2,,,,0.3,0.3,,,,,1.5,3595.9,,125.7,,14.6,61.0,92.4,77.1,30.6,29.5,73.0,30.9,13.2,13.0,0.2,3.5,2.6,6.1,138.9,408.5,,,0.7,0.4,,,,,,,,180.8,168.6,153.8,127.2,,,,22.9,68.8,7.5,170.2,160.9,,,,,,,,,,,,,,,,,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,2.1,,0.4,35.8,,11.0,,1.0,,,0.7,5.9,,0.1,38.8,0.0,3.2,0.4,,25.5,13.4,1.7,54.9,0.5,0.4,,6821.0,,4411.0,,6580.0,,89.1,,10.7,,25.8,678.4,31.5,1185.7,862.5,,,,,,,,,,,96.4,8.7,55.6,,,,,763.2,,41.5,,15.7,,,,,3.7,,,31.8,1.0,,,2.2,,,,0.3,0.3,,,,,1.1,3475.9,,141.9,,15.0,63.0,91.9,61.7,31.1,36.1,74.4,32.2,13.4,13.2,0.2,3.9,2.4,6.3,137.2,423.7,,,0.4,1.2,,,,,,,,155.6,150.7,114.5,132.6,,,,26.8,53.9,2.7,144.0,142.2,,,,,,,,,,,,,,,,,126.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,1.7,,0.4,34.2,,10.0,,0.8,,,0.7,5.7,,0.1,42.3,0.0,2.5,0.3,,25.9,12.4,1.2,56.9,0.5,0.3,,6761.0,,4483.0,,6410.0,,60.3,,11.2,,29.1,685.1,31.1,1139.6,594.2,,,,,,,,,,,126.4,9.5,59.9,,,,,733.8,,44.0,,18.4,,,,,3.9,,,33.2,1.0,,,2.0,,,,0.3,0.2,,,,,0.8,3419.2,,136.4,,14.9,61.8,79.7,49.4,32.4,36.1,74.9,32.6,13.2,13.0,0.2,4.0,2.4,6.4,116.6,406.5,,,0.4,1.4,,,,,,,,168.8,174.5,159.5,149.8,,,,20.5,85.4,5.2,136.7,148.0,,,,,,,,,,,,,,,,,121.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,1.4,,0.4,34.9,,10.4,,0.7,,,0.8,5.5,,0.1,41.5,0.0,2.9,0.3,,23.7,13.8,0.7,58.1,0.3,0.2,,6880.0,,4413.0,,6276.0,,49.0,,12.0,,27.7,716.6,28.8,981.6,643.8,,,,,,,,,,,95.3,6.0,63.1,,,,,707.6,,45.1,,18.9,,,,,4.0,,,36.3,0.8,,,2.1,,,,0.2,0.2,,,,,0.8,3375.4,,114.3,,15.3,66.3,64.0,36.3,34.5,36.1,73.4,31.1,13.3,13.1,0.2,4.0,2.2,6.2,115.4,394.8,,,0.4,1.4,,,,,,,,120.86,142.46,121.05,124.54,,,,20.1,92.2,4.4,127.1,129.9,,,,,,,,,,,,,,,,,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,1.1,,0.3,32.0,,9.8,,0.6,,,0.9,5.9,,0.1,46.4,0.0,2.6,0.2,,17.8,13.0,0.5,65.6,0.2,0.1,,6716.0,,4310.0,,5995.0,,50.8,,14.7,,28.1,756.4,37.4,801.0,674.4,,,,,,,,,,,117.3,5.7,64.7,,,,,716.3,,45.3,,18.0,,,,,4.5,,,40.0,0.7,,,2.0,,,,0.2,0.1,,,,,0.9,3477.3,,95.6,,15.3,67.8,50.4,22.8,35.6,36.1,69.8,27.7,13.3,13.1,0.2,4.0,2.1,6.1,122.0,368.6,,,0.3,1.1,,,,,,,,146.92,129.27,100.14,110.3,,,,21.4,98.0,12.3,126.5,129.6,,,,,,,,,,,,,,,,,103.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,0.8,,0.2,28.4,,7.8,,0.5,,,1.2,5.4,,0.1,51.1,1.6,2.6,0.1,,13.7,10.3,0.3,72.5,0.2,0.3,,6682.0,,4265.0,,6050.0,,55.7,,15.5,,29.2,753.7,35.1,764.8,704.1,,,,,,,,,,,97.8,6.2,68.9,,,,,755.9,,45.8,,18.1,,,,,4.6,,,46.2,0.6,,,2.1,,,,0.2,0.1,,,,,0.9,3962.4,,89.9,,15.1,71.5,43.3,16.8,36.9,36.1,62.3,20.8,13.5,13.3,0.2,4.0,2.2,6.2,112.4,339.6,,,0.2,1.3,,,,,,,,118.32,137.94,107.14,103.32,,,,19.9,62.2,6.8,128.1,125.6,,,,,,,,,,,,,,,,,107.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,0.7,,0.1,22.6,,6.8,,0.4,,,1.8,4.9,,0.1,58.2,1.8,2.1,0.1,,10.4,7.6,0.2,79.0,0.3,0.3,,6735.0,,4312.0,,6119.0,,61.9,,16.0,,23.1,707.7,35.6,677.2,828.0,,,,,,,,,,,77.1,6.6,73.4,,,,,812.8,,50.0,,19.3,,,,,4.7,,,49.8,0.5,,,2.1,,,,0.2,0.1,,,,,1.0,4188.5,,69.0,,12.1,73.0,46.3,16.6,38.0,36.1,51.6,10.0,13.1,13.0,0.1,4.0,1.7,5.7,129.6,268.4,,,0.1,1.3,,,,,,,,105.66,105.69,96.53,101.3,,,,19.1,69.7,3.2,124.0,130.2,,,,,,,,,,,,,,,,,106.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,0.5,,0.1,17.1,,4.9,,0.3,,,2.3,4.0,,0.1,66.3,1.9,1.3,0.04,,6.5,5.1,0.1,86.6,0.2,0.2,,6767.0,,4344.0,,6146.0,,74.1,,16.3,,23.7,761.8,36.0,615.1,903.6,,,,,,,,,,,76.7,6.7,78.8,,,,,879.3,,58.0,,21.6,,,,,5.4,,,56.9,0.5,,,2.3,,,,0.2,0.1,,,,,1.4,4652.4,,70.5,,11.5,76.1,46.9,14.3,39.0,36.1,49.2,7.5,13.4,13.3,0.1,4.2,1.8,6.1,114.2,220.6,,,0.1,1.2,,,,,,,,115.23,111.15,108.77,99.47,,,,20.9,110.9,12.9,110.9,114.1,,,,,,,,,,,,,,,,,106.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,0.5,,0.0,14.0,,3.9,,0.3,,,2.6,3.5,,0.1,71.2,1.7,1.2,0.02,,3.8,3.9,0.1,89.8,1.1,0.1,,6778.0,,4369.0,,6160.0,,82.3,,16.7,,23.3,817.4,36.3,584.4,958.2,,,,,,,,,,,84.0,6.0,83.8,,,,,950.4,,62.8,,23.4,,,,,5.6,,,64.8,0.5,,,2.5,,,,0.2,0.1,,,,,1.5,5264.7,,73.4,,13.0,76.4,41.5,8.5,39.3,36.1,49.0,7.4,13.7,13.6,0.1,4.2,1.7,5.9,114.2,212.5,,,0.0,1.8,,,,,,,,168.75,149.11,96.2,102.61,,,,24.5,113.5,14.7,107.7,109.1,,,,,,,,,,,,,,,,,107.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,0.3,,0.0,12.3,,3.4,,0.2,,,2.5,3.6,,0.1,72.0,1.8,1.2,0.02,,2.3,3.1,0.1,89.9,3.3,0.1,,6579.0,,4099.0,,5881.0,,89.5,,16.2,,23.9,866.2,32.7,517.7,1170.1,,,,,,,,,,,102.9,15.9,77.8,,,,,1078.0,,65.6,,24.2,,,,,4.9,,,70.3,0.5,,,2.6,,,,0.1,0.04,,,,,1.5,5654.5,,68.0,,14.1,53.0,33.1,5.0,30.3,36.1,49.1,7.4,13.7,13.6,0.1,4.2,1.7,5.9,108.5,128.7,,,0.0,3.3,,,,,,,,103.8,122.06,108.3,105.8,,,,25.4,115.6,12.3,129.5,124.7,,,,,,,,,,,,,,,,,107.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
