id,file,theme,monthly,n_rows,n_time,t_start,t_end,top_entities,known_topic,n_vals,min,max,median,magnitude_order,looks_integer
1105,sdmx_data_1105.csv,international,0,228,15,2010,2024,Cuba | Côte d’Ivoire | Papua New Guinea | Tuvalu | Chad,,3420,0.0,11679752.8,10.5,7,False
1141,sdmx_data_1141.csv,national_single,1,1,59,2021-M01,2025-M11,Republic of Uzbekistan,,59,527.2,22416.6,9376.8,4,False
1143,sdmx_data_1143.csv,national_single,0,1,15,2010,2024,Republic of Uzbekistan,,15,8974.0,19698.4,11687.9,4,False
1151,sdmx_data_1151.csv,national_single,0,1,15,2010,2024,Republic of Uzbekistan,,15,8685.4,35574.8,12997.3,4,False
1166,sdmx_data_1166.csv,national_single,1,1,59,2021-M01,2025-M11,Republic of Uzbekistan,,59,1583.4,37419.7,15562.3,4,False
1170,sdmx_data_1170.csv,international,1,233,63,2021-M01,2026-M03,Cuba | Côte d’Ivoire | Papua New Guinea | Tuvalu | Chad,,14679,0.0,16150189.5,3.0,7,False
1173,sdmx_data_1173.csv,international,1,200,66,2021-M01,2026-M03,Cuba | Côte d’Ivoire | Tuvalu | Chad | Albania,,13200,0.0,14755927.5,67.9,7,False
1176,sdmx_data_1176.csv,international,0,234,15,2010,2024,Cuba | Côte d’Ivoire | Papua New Guinea | Tuvalu | Chad,,3510,0.0,11339099.0,7.68,7,False
1177,sdmx_data_1177.csv,international,0,4,13,2010,2022,Consumer products | Wine-vodka products and beer | Non-food products | Food products,,52,92.9,128.1,108.1,2,False
1178,sdmx_data_1178.csv,national_with_regions,0,15,15,2010,2024,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region,,225,355.9,134209.0,4170.8,5,False
1180,sdmx_data_1180.csv,national_with_regions,0,15,15,2010,2024,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region,,225,71.6,162.0,104.6,2,False
1182,sdmx_data_1182.csv,national_with_regions,0,15,13,2010,2022,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region,,195,136.8,12556.3,1251.3,4,False
1189,sdmx_data_1189.csv,international,0,23,13,2010,2022,"Food and Beverage | Raw materials | Processed | Source products for industry, not elsewhere classified | Raw materials",,299,0.0,10168.1,228.6,4,False
1190,sdmx_data_1190.csv,national_with_regions,0,222,13,2013,2025,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Taxiatosh city | Amudarya district,,2886,0.0,1420026.0,4844.0,6,True
1191,sdmx_data_1191.csv,national_with_regions,0,222,13,2013,2025,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Taxiatosh city | Amudarya district,,2886,0.0,2230661.0,7027.0,6,True
