nace_code,activity_en,energy_efficiency_pct,fuel_share_pct,electricity_share_pct,heat_share_pct,source,source_url
0,Всего,Total,4.157019001727372,53.201262812176275,41.030358878270306,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
,из них по отраслям,"of these, by industry",,,,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
01,"Растениеводство и животноводство, охота и предоставление услуг в этих областях","Crop and livestock production, hunting and service provision in these areas",3.71137475020911,47.071049806472516,47.095297717498624,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
02,Лесоводство и лесозаготовки,Forestry and logging,1.5980729452658993,3.364042242401402,96.32407756360706,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
03,Рыболовство и аквакультура,Fisheries and aquaculture,3.819918349810094,17.898602708343766,78.872633371525,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
05,Добыча угля и лигнита,Mining of coal and lignite,16.40566921589006,79.18984528020228,20.810154719797723,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
06,Добыча сырой нефти и природного газа,Crude oil and natural gas mining,2.911938881422507,38.37157719151587,42.628575129565746,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
07,Добыча металлических руд,Mining of metal ores,4.187884430141633,1.1593120096117868,96.00464572715306,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
08,Прочая деятельность горнодобывающей промышленности,Other mining activities,5.858452671176171,35.95006015879438,62.02336342595171,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
09,Технические услуги в области горнодобывающей промышленности,Technical services in the mining industry,3.1717337073406453,74.98987410259961,24.958532312231366,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
10,Производство продуктов питания,Food production,2.0082557036193873,24.940866273037926,72.84751648023041,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
11,Производство напитков,Beverage production,1.2548842024263243,33.202942686774236,66.26646963496682,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
12,Производство табачных изделий,Production of tobacco products,0.3638258874997019,12.906103424987528,87.09389657501248,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
13,Производство текстильных изделий,Production of textile products,4.379013634656434,13.98994664313741,84.34162751421815,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
