sector_ru,Уголь,Газ природный,"Нефть, включая газовый конденсат",Бензин моторный,Топливо дизельное,Мазут,Газы углеводородные сжиженные,Керосин,Кокс,Прочие виды нефтепродуктов,Электроэнергия,Теплоэнергия,Всего,sector_en,electricity_ktoe,electricity_gwh,electricity_twh,source,source_url,unit_note
Производство,2601.360297979789,33723.08533404738,1901.585268877802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.9957441734787,0.0,39272.02664507845,Production (primary),1045.9957441734787,12164.930504737558,12.164930504737558,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Импорт (+),1543.6043639872,17090.98858649812,778.4561099179872,829.3910860730097,122.22899616149081,180.01517042000003,153.42694525290005,34.67876745880613,22.068442557,400.5900014683,346.84766543059305,0.0,21502.296135225406,Imports,346.84766543059305,4033.8383489577973,4.033838348957797,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Экспорт (-),-37.48349650781,-4909.76244588956,0.0,-303.97226594057,-0.46128172065061784,-0.1712758,-8.206572000000001,-158.15474055521585,-17.199,-392.09000249999997,-222.5402861173333,0.0,-6050.041367031139,Exports,-222.5402861173333,-2588.1435275445865,-2.5881435275445863,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
"Изменение остатков (+,–)",-442.87997886000005,-1484.46213921586,5.444000768692799,25.15224818,30.358619558326275,-14.44543713,1.2096348000000008,16.808456579392317,-0.063,-8.4,0.0,0.0,-1871.277595319449,Stock changes,0.0,0.0,0.0,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Общие предложение первичной энергии (=),3664.6011865991795,44419.84933544008,2685.4853795644817,550.5710683124396,152.12633399916646,165.39845749000006,146.43000805290006,-106.6675165170174,4.806442557,0.09999896830001909,1170.3031234867383,0.0,52853.003817953264,Total primary supply,1170.3031234867383,13610.625326150766,13.610625326150766,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Передачи,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Transfers,0.0,0.0,0.0,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Статистическое расхождение,0.11849762727024427,0.06311067856222508,-1.0027605155897854,-0.06744969155215585,0.1704151639835345,-0.17280191000006084,0.21484788709881286,0.18936025919634858,0.23355744300000048,-0.10999896830001908,-0.21038083923940576,0.14853082100012216,-0.42507204457013903,Statistical discrepancy,-0.21038083923940576,-2.4467291603542893,-0.0024467291603542892,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Электростанции,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Power plants (electricity-only),0.0,0.0,0.0,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Тепло-электроцентрали,-1764.52604105,-12175.359238000001,0.0,0.0,-1.4125066320579012,-208.666,0.0,0.0,0.0,0.0,4485.470068845728,1733.8100000000002,-7930.683716836328,CHP plants,4485.470068845728,52166.016900675815,52.166016900675814,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
Теплоцентрали,0.0,-1081.85009570848,0.0,0.0,-1.018866147348814,-14.35049511,0.0,0.0,0.0,0.0,-105.47553934608244,0.0,-1202.6949963119114,Heat plants,-105.47553934608244,-1226.6805225949388,-1.2266805225949389,UzStat — Pilot Fuel-Energy Balance 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance,Original ktoe; electricity_gwh = ktoe × 11.63 (IEA physical-content)
