Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil,Natural gas,Other,Units
1990,13.992,27.834,75.94,0,MtCO2
1991,14.51,26.086,77.988,0,MtCO2
1992,10.317,21.777,78.488,0,MtCO2
1993,7.876,20.223,83.27,0,MtCO2
1994,7.971,17.316,79.784,0,MtCO2
1995,4.467,18.499,71.613,0,MtCO2
1996,4.833,18.239,72.593,0,MtCO2
1997,4.088,19.246,73.621,0,MtCO2
1998,4.3,18.914,89.108,0,MtCO2
1999,4.247,18.233,90.945,0,MtCO2
2000,4.605,18.38,97.177,0,MtCO2
2001,4.01,18.136,98.618,0,MtCO2
2002,4.241,17.999,101.365,0,MtCO2
2003,3.255,15.717,97.207,0,MtCO2
2004,4.437,15.055,99.641,0,MtCO2
2005,4.308,14.415,93.626,0,MtCO2
2006,4.669,14.704,100.725,0,MtCO2
2007,4.163,14.069,98.847,0,MtCO2
2008,5.125,12.978,103.667,0,MtCO2
2009,4.921,12.113,94.108,0,MtCO2
2010,4.236,12.027,104.121,0,MtCO2
2011,4.528,11.56,107.328,0,MtCO2
2012,5.83,9.889,92.137,0,MtCO2
2013,8.529,9.154,89.526,0,MtCO2
2014,7.89,9.311,82.935,0,MtCO2
2015,6.298,9.064,79.014,0,MtCO2
2016,7.477,9.677,83.35,0,MtCO2
2017,7.027,9.705,88.296,0,MtCO2
2018,7.993,10.764,79.186,0,MtCO2
2019,8.296,11.317,81.914,0,MtCO2
2020,12.13,12.093,86.264,0,MtCO2
2021,10.488,12.507,96.481,0,MtCO2
2022,12.432,13.041,90.694,0,MtCO2
2023,16.634,15.625,88.313,0,MtCO2
