Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,43.805,3.397,7.685,0.411,0,0.003,0.439,0,62.025,MtCO2
1991,43.79,3.41,6.936,0.387,0,0.003,0.436,0,63.62,MtCO2
1992,45.095,3.148,5.429,0.304,0,0.003,0.298,0,56.303,MtCO2
1993,44.242,2.866,4.773,0.265,0,0.003,0.216,0,59.003,MtCO2
1994,39.036,2.715,4.271,0.228,0,0.003,0.182,0,58.634,MtCO2
1995,33.891,1.867,6.862,13.58,4.73,24.63,0.619,0,8.398,MtCO2
1996,33.784,4.195,9.365,10.535,2.961,29.205,3.804,0,1.813,MtCO2
1997,34.232,4.036,9.487,7.821,5.978,30.224,3.813,0,1.362,MtCO2
1998,36.901,4.401,12.936,15.811,6.637,33.487,0.429,0,1.717,MtCO2
1999,35.121,4.615,13.498,16.368,6.92,34.947,0.417,0,1.538,MtCO2
2000,38.674,4.764,13.504,16.932,7.189,36.672,0.434,0,1.99,MtCO2
2001,38.292,4.808,13.9,17.072,7.325,37.327,0.426,0,1.612,MtCO2
2002,38.274,4.981,13.411,17.851,7.627,39.191,0.456,0,1.812,MtCO2
2003,35.409,4.823,12.18,17.042,7.356,37.608,0.438,0,1.322,MtCO2
2004,38.429,4.774,12.179,16.986,7.362,37.603,0.437,0,1.36,MtCO2
2005,34.661,4.473,12.216,16.226,7.024,35.899,0.419,0,1.43,MtCO2
2006,39.071,4.632,12.94,16.914,7.308,37.24,0.436,0,1.556,MtCO2
2007,38.266,4.208,13.093,16.405,7.094,36.006,0.422,0,1.585,MtCO2
2008,40.63,4.339,12.958,17.051,7.39,37.309,0.442,0,1.651,MtCO2
2009,38.545,3.852,12.153,15.135,6.519,33.039,0.394,0,1.503,MtCO2
2010,37.938,4.382,12.928,17.395,7.572,38.187,0.447,0,1.532,MtCO2
2011,40.358,4.396,12.507,17.597,7.655,38.861,0.453,0,1.586,MtCO2
2012,40.666,3.551,10.206,14.154,6.084,31.272,0.375,0,1.546,MtCO2
2013,43.102,3.222,9.247,13.01,5.599,29.674,0.319,0,3.034,MtCO2
2014,43.848,2.79,8.637,11.257,4.827,26.197,0.276,0,2.302,MtCO2
2015,43.94,2.521,8.088,10.002,4.306,23.385,0.249,0,1.882,MtCO2
2016,45.167,2.711,8.207,10.766,4.654,25.138,0.267,0,3.591,MtCO2
2017,45.729,2.977,8.869,11.902,5.144,27.795,0.295,0,2.315,MtCO2
2018,37.092,6.64,14.474,11.69,5.036,21.962,0.096,0.001,0.951,MtCO2
2019,39.134,6.493,14.967,13.303,6.25,20.32,0.058,0.001,0.998,MtCO2
2020,39.403,5.923,15.626,11.88,6.571,24.868,0.677,0.001,5.536,MtCO2
2021,48.472,5.648,16.28,13.084,8.203,25.709,0.805,0.002,1.27,MtCO2
2022,46.911,5.476,17.58,14.862,3.996,24.641,0.745,0.015,1.938,MtCO2
2023,49.634,5.534,18.356,15.311,5.033,23.769,1.387,0.04,1.504,MtCO2
