Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2 emissions,Population,GDP PPP per population,Energy intensity (TES / GDP PPP),Carbon intensity (CO2 / TES),Units
1990,98.006619,82.563441,123.613395,100.12287,95.911085,Index (2000=100)
1991,98.686576,84.572558,120.082421,101.997456,95.270806,Index (2000=100)
1992,92.028135,86.678501,104.042192,107.812465,94.65221,Index (2000=100)
1993,92.683425,88.70779,99.32401,114.659711,91.743483,Index (2000=100)
1994,87.441449,90.624117,92.168249,119.579392,87.545913,Index (2000=100)
1995,78.710437,92.459757,89.524834,102.294515,92.957343,Index (2000=100)
1996,79.613016,94.210675,89.35453,104.362711,90.619577,Index (2000=100)
1997,80.686988,95.852665,92.391494,101.032129,90.179499,Index (2000=100)
1998,93.475926,97.369589,94.862322,100.815661,100.381732,Index (2000=100)
1999,94.393955,98.74531,97.564061,100.95324,97.054924,Index (2000=100)
2000,100,100,100,100,100,Index (2000=100)
2001,100.501331,101.222415,102.942114,96.98806,99.445186,Index (2000=100)
2002,102.866231,102.473071,105.752783,96.639114,98.224162,Index (2000=100)
2003,96.686018,103.727761,108.86226,89.737827,95.414807,Index (2000=100)
2004,99.144245,105.010691,115.489514,82.581397,98.994077,Index (2000=100)
2005,93.498106,106.333965,122.035289,72.96649,98.746546,Index (2000=100)
2006,99.947728,107.713721,129.507686,70.123527,102.174519,Index (2000=100)
2007,97.435529,109.234679,139.836747,62.619868,101.864615,Index (2000=100)
2008,101.338972,110.925082,150.09867,59.128033,102.938174,Index (2000=100)
2009,92.494237,112.716343,159.678216,49.946765,102.890374,Index (2000=100)
2010,100.184751,114.519708,168.313111,50.705803,102.505172,Index (2000=100)
2011,102.708415,116.282729,178.235272,48.193956,102.826388,Index (2000=100)
2012,89.759161,118.053819,188.028648,39.559814,102.216375,Index (2000=100)
2013,89.220418,119.917699,198.613929,36.437166,102.807944,Index (2000=100)
2014,83.334309,121.930851,208.762232,31.812309,102.911312,Index (2000=100)
2015,78.541376,124.052931,220.003958,28.356572,101.486261,Index (2000=100)
2016,83.640941,126.215355,229.060779,28.2765,102.312884,Index (2000=100)
2017,87.405707,128.36971,235.11563,28.549731,101.436374,Index (2000=100)
2018,81.510051,130.604752,243.938202,27.957963,91.509638,Index (2000=100)
2019,84.491597,132.993101,255.799892,26.932338,92.216787,Index (2000=100)
2020,91.949362,135.498447,254.993963,28.318797,93.97443,Index (2000=100)
2021,99.428825,138.153064,270.18897,28.981451,91.910271,Index (2000=100)
2022,96.675795,140.956953,280.706517,26.308308,92.872221,Index (2000=100)
2023,100.341475,143.833461,292.448315,25.476787,93.632531,Index (2000=100)
