Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil,Natural gas,Other,Units
1990,8.952,7.575,27.276,0,MtCO2
1991,8.658,7.12,28.011,0,MtCO2
1992,7.039,6.644,31.411,0,MtCO2
1993,5.491,5.941,32.81,0,MtCO2
1994,5.544,4.637,28.854,0,MtCO2
1995,3.06,5.396,25.434,0,MtCO2
1996,3.436,6.229,24.117,0,MtCO2
1997,3.299,6.334,24.598,0,MtCO2
1998,3.461,6.127,27.312,0,MtCO2
1999,3.433,5.17,26.516,0,MtCO2
2000,3.534,4.901,30.239,0,MtCO2
2001,2.971,4.901,30.419,0,MtCO2
2002,3.17,4.752,30.351,0,MtCO2
2003,2.449,4.238,28.72,0,MtCO2
2004,3.368,3.96,31.1,0,MtCO2
2005,3.23,3.201,28.229,0,MtCO2
2006,3.451,2.932,32.687,0,MtCO2
2007,2.967,2.192,33.106,0,MtCO2
2008,3.79,1.655,35.184,0,MtCO2
2009,3.64,1.21,33.693,0,MtCO2
2010,3.056,0.932,33.949,0,MtCO2
2011,3.256,0.719,36.382,0,MtCO2
2012,4.353,0.559,35.753,0,MtCO2
2013,5.005,0.458,37.638,0,MtCO2
2014,5.262,0.382,38.203,0,MtCO2
2015,4.505,0.327,39.108,0,MtCO2
2016,4.612,0.333,40.221,0,MtCO2
2017,4.777,0.331,40.62,0,MtCO2
2018,4.905,0.66,31.527,0,MtCO2
2019,5.322,0.844,32.967,0,MtCO2
2020,6.709,0.58,32.113,0,MtCO2
2021,7.953,1.479,39.039,0,MtCO2
2022,8.683,1.022,37.205,0,MtCO2
2023,13.75,2.445,33.438,0,MtCO2
