Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,"Electricity output in GWh","Share of electricity output from fossil fuels",CO2 intensity of fossil fuel mix,"Thermal efficiency of electricity plants","CO2 emissions from electricity generation",Units
1990,120.193334,95.377559,107.501771,108.288083,113.615269,Index (2000=100)
1991,115.584055,96.100411,107.583061,103.113716,115.697987,Index (2000=100)
1992,108.640263,94.799774,104.008871,88.617269,120.67722,Index (2000=100)
1993,104.880287,91.951775,101.47906,82.234368,118.80979,Index (2000=100)
1994,102.001622,91.951874,102.24687,93.802776,102.065076,Index (2000=100)
1995,101.26115,94.039479,101.188822,110.133994,87.534075,Index (2000=100)
1996,96.920746,92.605564,102.139021,109.104976,84.110618,Index (2000=100)
1997,98.275788,94.576187,101.987815,108.848397,87.167576,Index (2000=100)
1998,98.021851,94.503377,101.180867,99.768685,94.012941,Index (2000=100)
1999,96.818318,91.316344,101.097016,99.725261,89.692156,Index (2000=100)
2000,100,100,100,100,100,Index (2000=100)
2001,102.340916,98.31919,99.290339,101.235004,98.699041,Index (2000=100)
2002,105.4095,94.953489,99.527642,101.016686,98.651129,Index (2000=100)
2003,104.011779,90.017266,98.688522,102.465604,90.231872,Index (2000=100)
2004,106.053946,94.868256,99.118999,100.746231,98.993891,Index (2000=100)
2005,101.713542,87.888011,99.211672,100.710769,88.101092,Index (2000=100)
2006,105.358286,97.847029,98.230744,100.707189,100.518919,Index (2000=100)
2007,104.585805,97.846014,97.047302,101.421599,97.864352,Index (2000=100)
2008,107.161453,98.476778,97.369102,101.802234,100.846311,Index (2000=100)
2009,106.916051,94.148623,97.030214,101.881086,95.786502,Index (2000=100)
2010,110.910759,91.096787,96.146818,102.927741,94.319233,Index (2000=100)
2011,112.679783,96.461797,95.860925,101.448061,102.606717,Index (2000=100)
2012,113.215398,94.580678,96.974644,99.498747,104.259259,Index (2000=100)
2013,116.683027,96.860531,97.254874,98.230828,111.76226,Index (2000=100)
2014,118.994068,96.360141,97.281264,97.875081,113.820451,Index (2000=100)
2015,122.51291,95.285823,96.17709,98.200332,114.178396,Index (2000=100)
2016,125.297683,95.507081,96.193906,97.657262,117.716947,Index (2000=100)
2017,129.785466,94.040988,96.398705,98.02562,119.871656,Index (2000=100)
2018,134.216613,98.001499,97.701664,136.837683,93.932995,Index (2000=100)
2019,135.571664,97.115465,98.077993,129.705825,99.499501,Index (2000=100)
2020,141.907509,100.011838,99.776732,138.683715,102.021381,Index (2000=100)
2021,152.284252,100.530545,97.498928,116.045341,128.4872,Index (2000=100)
2022,158.485133,98.065265,98.237248,123.213897,123.79563,Index (2000=100)
2023,158.611393,97.128288,102.243964,121.205396,129.844406,Index (2000=100)
