Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,5.754593,tCO2 per capita
1991,5.656862,tCO2 per capita
1992,5.147024,tCO2 per capita
1993,5.065091,tCO2 per capita
1994,4.677573,tCO2 per capita
1995,4.126925,tCO2 per capita
1996,4.09667,tCO2 per capita
1997,4.080809,tCO2 per capita
1998,4.653968,tCO2 per capita
1999,4.634199,tCO2 per capita
2000,4.847826,tCO2 per capita
2001,4.813291,tCO2 per capita
2002,4.866425,tCO2 per capita
2003,4.518722,tCO2 per capita
2004,4.577001,tCO2 per capita
2005,4.262631,tCO2 per capita
2006,4.498305,tCO2 per capita
2007,4.32418,tCO2 per capita
2008,4.428878,tCO2 per capita
2009,3.978091,tCO2 per capita
2010,4.241001,tCO2 per capita
2011,4.281913,tCO2 per capita
2012,3.685918,tCO2 per capita
2013,3.606849,tCO2 per capita
2014,3.313273,tCO2 per capita
2015,3.069294,tCO2 per capita
2016,3.212578,tCO2 per capita
2017,3.300838,tCO2 per capita
2018,3.025514,tCO2 per capita
2019,3.079863,tCO2 per capita
2020,3.289739,tCO2 per capita
2021,3.488982,tCO2 per capita
2022,3.324897,tCO2 per capita
2023,3.381953,tCO2 per capita
