Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,"CO2/GDP PPP (kgCO2 per 2020 USD)",Units
1990,1.404522,"kgCO2eq per US dollar (2020 prices)"
1991,1.421267,"kgCO2eq per US dollar (2020 prices)"
1992,1.49254,"kgCO2eq per US dollar (2020 prices)"
1993,1.538553,"kgCO2eq per US dollar (2020 prices)"
1994,1.531153,"kgCO2eq per US dollar (2020 prices)"
1995,1.390793,"kgCO2eq per US dollar (2020 prices)"
1996,1.383228,"kgCO2eq per US dollar (2020 prices)"
1997,1.332581,"kgCO2eq per US dollar (2020 prices)"
1998,1.480161,"kgCO2eq per US dollar (2020 prices)"
1999,1.433059,"kgCO2eq per US dollar (2020 prices)"
2000,1.462603,"kgCO2eq per US dollar (2020 prices)"
2001,1.41068,"kgCO2eq per US dollar (2020 prices)"
2002,1.388346,"kgCO2eq per US dollar (2020 prices)"
2003,1.252327,"kgCO2eq per US dollar (2020 prices)"
2004,1.195688,"kgCO2eq per US dollar (2020 prices)"
2005,1.053833,"kgCO2eq per US dollar (2020 prices)"
2006,1.047931,"kgCO2eq per US dollar (2020 prices)"
2007,0.932958,"kgCO2eq per US dollar (2020 prices)"
2008,0.890218,"kgCO2eq per US dollar (2020 prices)"
2009,0.751638,"kgCO2eq per US dollar (2020 prices)"
2010,0.760203,"kgCO2eq per US dollar (2020 prices)"
2011,0.724809,"kgCO2eq per US dollar (2020 prices)"
2012,0.591427,"kgCO2eq per US dollar (2020 prices)"
2013,0.547895,"kgCO2eq per US dollar (2020 prices)"
2014,0.478834,"kgCO2eq per US dollar (2020 prices)"
2015,0.420908,"kgCO2eq per US dollar (2020 prices)"
2016,0.423138,"kgCO2eq per US dollar (2020 prices)"
2017,0.423567,"kgCO2eq per US dollar (2020 prices)"
2018,0.374196,"kgCO2eq per US dollar (2020 prices)"
2019,0.363254,"kgCO2eq per US dollar (2020 prices)"
2020,0.389234,"kgCO2eq per US dollar (2020 prices)"
2021,0.389592,"kgCO2eq per US dollar (2020 prices)"
2022,0.357359,"kgCO2eq per US dollar (2020 prices)"
2023,0.348897,"kgCO2eq per US dollar (2020 prices)"
