Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/GDP (kgCO2 per 2020 USD),Units
1990,6.000598,"kgCO2eq per US dollar (2020 prices)"
1991,6.07193,"kgCO2eq per US dollar (2020 prices)"
1992,6.376647,"kgCO2eq per US dollar (2020 prices)"
1993,6.573289,"kgCO2eq per US dollar (2020 prices)"
1994,6.541671,"kgCO2eq per US dollar (2020 prices)"
1995,5.941755,"kgCO2eq per US dollar (2020 prices)"
1996,5.909651,"kgCO2eq per US dollar (2020 prices)"
1997,5.693244,"kgCO2eq per US dollar (2020 prices)"
1998,6.323455,"kgCO2eq per US dollar (2020 prices)"
1999,6.122566,"kgCO2eq per US dollar (2020 prices)"
2000,6.248729,"kgCO2eq per US dollar (2020 prices)"
2001,6.026822,"kgCO2eq per US dollar (2020 prices)"
2002,5.931248,"kgCO2eq per US dollar (2020 prices)"
2003,5.350259,"kgCO2eq per US dollar (2020 prices)"
2004,5.108256,"kgCO2eq per US dollar (2020 prices)"
2005,4.502291,"kgCO2eq per US dollar (2020 prices)"
2006,4.477009,"kgCO2eq per US dollar (2020 prices)"
2007,3.985889,"kgCO2eq per US dollar (2020 prices)"
2008,3.803236,"kgCO2eq per US dollar (2020 prices)"
2009,3.21123,"kgCO2eq per US dollar (2020 prices)"
2010,3.247769,"kgCO2eq per US dollar (2020 prices)"
2011,3.096587,"kgCO2eq per US dollar (2020 prices)"
2012,2.526762,"kgCO2eq per US dollar (2020 prices)"
2013,2.340778,"kgCO2eq per US dollar (2020 prices)"
2014,2.045701,"kgCO2eq per US dollar (2020 prices)"
2015,1.798253,"kgCO2eq per US dollar (2020 prices)"
2016,1.807751,"kgCO2eq per US dollar (2020 prices)"
2017,1.809603,"kgCO2eq per US dollar (2020 prices)"
2018,1.598658,"kgCO2eq per US dollar (2020 prices)"
2019,1.551936,"kgCO2eq per US dollar (2020 prices)"
2020,1.662916,"kgCO2eq per US dollar (2020 prices)"
2021,1.664438,"kgCO2eq per US dollar (2020 prices)"
2022,1.526746,"kgCO2eq per US dollar (2020 prices)"
2023,1.490584,"kgCO2eq per US dollar (2020 prices)"
