Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/TES,Units
1990,59.351612,t CO2/TJ
1991,58.955395,t CO2/TJ
1992,58.572596,t CO2/TJ
1993,56.772621,t CO2/TJ
1994,54.175084,t CO2/TJ
1995,57.52378,t CO2/TJ
1996,56.077126,t CO2/TJ
1997,55.804797,t CO2/TJ
1998,62.118134,t CO2/TJ
1999,60.059442,t CO2/TJ
2000,61.881911,t CO2/TJ
2001,61.538582,t CO2/TJ
2002,60.782988,t CO2/TJ
2003,59.044506,t CO2/TJ
2004,61.259427,t CO2/TJ
2005,61.106249,t CO2/TJ
2006,63.227545,t CO2/TJ
2007,63.03577,t CO2/TJ
2008,63.700109,t CO2/TJ
2009,63.67053,t CO2/TJ
2010,63.432159,t CO2/TJ
2011,63.630934,t CO2/TJ
2012,63.253446,t CO2/TJ
2013,63.61952,t CO2/TJ
2014,63.683487,t CO2/TJ
2015,62.801638,t CO2/TJ
2016,63.313168,t CO2/TJ
2017,62.770766,t CO2/TJ
2018,56.627913,t CO2/TJ
2019,57.06551,t CO2/TJ
2020,58.153173,t CO2/TJ
2021,56.875832,t CO2/TJ
2022,57.471105,t CO2/TJ
2023,57.9416,t CO2/TJ
