Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2 intensity of power,Units
1990,97.420108,Index (2000=100)
1991,101.271956,Index (2000=100)
1992,109.773108,Index (2000=100)
1993,111.677106,Index (2000=100)
1994,100.090037,Index (2000=100)
1995,88.324143,Index (2000=100)
1996,90.685187,Index (2000=100)
1997,93.785636,Index (2000=100)
1998,98.781636,Index (2000=100)
1999,95.385214,Index (2000=100)
2000,100,Index (2000=100)
2001,97.331625,Index (2000=100)
2002,95.280227,Index (2000=100)
2003,91.028002,Index (2000=100)
2004,96.736879,Index (2000=100)
2005,92.528375,Index (2000=100)
2006,98.770636,Index (2000=100)
2007,98.103608,Index (2000=100)
2008,93.112621,Index (2000=100)
2009,90.509303,Index (2000=100)
2010,88.19282,Index (2000=100)
2011,93.911952,Index (2000=100)
2012,95.280661,Index (2000=100)
2013,98.757357,Index (2000=100)
2014,98.757508,Index (2000=100)
2015,97.24332,Index (2000=100)
2016,98.545168,Index (2000=100)
2017,98.896621,Index (2000=100)
2018,77.660647,Index (2000=100)
2019,80.416232,Index (2000=100)
2020,80.328752,Index (2000=100)
2021,95.634748,Index (2000=100)
2022,90.674481,Index (2000=100)
2023,97.750114,Index (2000=100)
