Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Carbon intensity of road consumption,Units
1990,69.3,gCO2 per MJ
1991,69.3,gCO2 per MJ
1992,69.3,gCO2 per MJ
1993,69.3,gCO2 per MJ
1994,69.3,gCO2 per MJ
1995,68.6267,gCO2 per MJ
1996,70.186131,gCO2 per MJ
1997,69.955116,gCO2 per MJ
1998,71.273683,gCO2 per MJ
1999,71.180261,gCO2 per MJ
2000,70.71929,gCO2 per MJ
2001,70.793506,gCO2 per MJ
2002,70.655119,gCO2 per MJ
2003,70.600075,gCO2 per MJ
2004,70.487204,gCO2 per MJ
2005,70.671278,gCO2 per MJ
2006,70.864918,gCO2 per MJ
2007,70.906623,gCO2 per MJ
2008,70.626714,gCO2 per MJ
2009,70.508434,gCO2 per MJ
2010,70.559538,gCO2 per MJ
2011,70.680279,gCO2 per MJ
2012,70.61614,gCO2 per MJ
2013,70.668272,gCO2 per MJ
2014,69.934967,gCO2 per MJ
2015,69.944674,gCO2 per MJ
2016,70.090459,gCO2 per MJ
2017,70.035389,gCO2 per MJ
2018,63.394326,gCO2 per MJ
2019,62.648204,gCO2 per MJ
2020,63.734542,gCO2 per MJ
2021,62.315791,gCO2 per MJ
2022,61.541044,gCO2 per MJ
2023,61.781362,gCO2 per MJ
