Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Final Energy Carbon Intensity,Units
1990,78.633696,gCO2 per MJ
1991,78.693853,gCO2 per MJ
1992,82.767632,gCO2 per MJ
1993,82.466637,gCO2 per MJ
1994,74.028356,gCO2 per MJ
1995,75.418271,gCO2 per MJ
1996,77.228338,gCO2 per MJ
1997,76.998041,gCO2 per MJ
1998,75.689429,gCO2 per MJ
1999,74.28088,gCO2 per MJ
2000,75.48315,gCO2 per MJ
2001,75.60125,gCO2 per MJ
2002,75.118813,gCO2 per MJ
2003,74.201258,gCO2 per MJ
2004,76.070912,gCO2 per MJ
2005,74.812736,gCO2 per MJ
2006,76.253498,gCO2 per MJ
2007,75.642442,gCO2 per MJ
2008,75.425919,gCO2 per MJ
2009,76.014248,gCO2 per MJ
2010,74.309049,gCO2 per MJ
2011,75.694545,gCO2 per MJ
2012,79.059776,gCO2 per MJ
2013,82.19958,gCO2 per MJ
2014,84.53243,gCO2 per MJ
2015,86.004793,gCO2 per MJ
2016,85.484366,gCO2 per MJ
2017,83.918383,gCO2 per MJ
2018,79.509752,gCO2 per MJ
2019,79.25004,gCO2 per MJ
2020,78.137478,gCO2 per MJ
2021,82.559668,gCO2 per MJ
2022,82.700884,gCO2 per MJ
2023,83.799392,gCO2 per MJ
