Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Total CO2 emissions - Fuel Combustion,Units
1990,117.767,MtCO2
1991,118.584,MtCO2
1992,110.583,MtCO2
1993,111.371,MtCO2
1994,105.072,MtCO2
1995,94.58,MtCO2
1996,95.665,MtCO2
1997,96.955,MtCO2
1998,112.323,MtCO2
1999,113.426,MtCO2
2000,120.163,MtCO2
2001,120.765,MtCO2
2002,123.607,MtCO2
2003,116.18,MtCO2
2004,119.134,MtCO2
2005,112.35,MtCO2
2006,120.1,MtCO2
2007,117.081,MtCO2
2008,121.772,MtCO2
2009,111.143,MtCO2
2010,120.385,MtCO2
2011,123.417,MtCO2
2012,107.857,MtCO2
2013,107.209,MtCO2
2014,100.137,MtCO2
2015,94.377,MtCO2
2016,100.505,MtCO2
2017,105.029,MtCO2
2018,97.944,MtCO2
2019,101.527,MtCO2
2020,110.489,MtCO2
2021,119.476,MtCO2
2022,116.168,MtCO2
2023,120.573,MtCO2
