Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Other non-specified,Units
1990,149,TJ
1991,152,TJ
1992,156,TJ
1993,159,TJ
1994,163,TJ
1995,165,TJ
1996,169,TJ
1997,171,TJ
1998,175,TJ
1999,137,TJ
2000,172,TJ
2001,172,TJ
2002,163,TJ
2003,144,TJ
2004,132,TJ
2005,151,TJ
2006,158,TJ
2007,165,TJ
2008,158,TJ
2009,158,TJ
2010,158,TJ
2011,165,TJ
2012,186,TJ
2013,186,TJ
2014,186,TJ
2015,172,TJ
2016,172,TJ
2017,172,TJ
2018,172,TJ
2019,89,TJ
2020,127,TJ
2021,82,TJ
2022,82,TJ
2023,82,TJ
