Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Carbon intensity of industry consumption,Units
1990,3.979041,gCO2 per MJ
1991,4.017925,gCO2 per MJ
1992,3.352936,gCO2 per MJ
1993,3.075436,gCO2 per MJ
1994,2.722777,gCO2 per MJ
1995,44.449821,gCO2 per MJ
1996,42.423471,gCO2 per MJ
1997,38.740011,gCO2 per MJ
1998,45.754021,gCO2 per MJ
1999,45.987375,gCO2 per MJ
2000,45.883651,gCO2 per MJ
2001,46.194936,gCO2 per MJ
2002,46.512482,gCO2 per MJ
2003,46.293848,gCO2 per MJ
2004,46.365589,gCO2 per MJ
2005,46.276764,gCO2 per MJ
2006,46.27995,gCO2 per MJ
2007,46.276969,gCO2 per MJ
2008,46.014039,gCO2 per MJ
2009,45.138855,gCO2 per MJ
2010,46.335376,gCO2 per MJ
2011,46.157831,gCO2 per MJ
2012,44.34015,gCO2 per MJ
2013,43.30874,gCO2 per MJ
2014,41.299263,gCO2 per MJ
2015,39.598811,gCO2 per MJ
2016,40.342825,gCO2 per MJ
2017,41.10828,gCO2 per MJ
2018,42.32718,gCO2 per MJ
2019,43.549072,gCO2 per MJ
2020,41.20486,gCO2 per MJ
2021,42.00515,gCO2 per MJ
2022,42.591539,gCO2 per MJ
2023,43.47089,gCO2 per MJ
