Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Other non-specified,Industry,Residential,Agriculture and forestry,Transport,Commercial and public services,Fishing,Units
1990,53124,,,,,,,TJ
1991,61169,,,,,,,TJ
1992,34086,,,,,,,TJ
1993,24433,,,,,,,TJ
1994,24958,,,,,,,TJ
1995,7940,3652,1934,337,,,,TJ
1996,9303,3262,820,293,,,,TJ
1997,4861,2384,498,131,,,,TJ
1998,5680,2022,527,131,,,,TJ
1999,5438,2007,527,131,,,,TJ
2000,7508,2403,630,161,,,,TJ
2001,7683,2022,527,131,,,,TJ
2002,7840,2154,556,146,,,,TJ
2003,5856,1670,424,117,,,,TJ
2004,7621,2300,586,161,,,,TJ
2005,7793,2212,556,161,,,,TJ
2006,9051,2359,600,175,,,,TJ
2007,9275,2022,512,146,,,,TJ
2008,9888,2579,659,190,,,,TJ
2009,8663,3126,778,175,,,,TJ
2010,8789,2210,564,146,,,,TJ
2011,9139,2268,1077,161,,,,TJ
2012,8975,3046,2516,219,,,,TJ
2013,20051,2613,12184,14,175,,,TJ
2014,10712,2769,12656,,161,,,TJ
2015,4624,1764,11462,,117,,,TJ
2016,15508,1505,11596,,131,,,TJ
2017,7325,1916,13249,3,119,,,TJ
2018,4917,3690,19739,0,140,2811,2,TJ
2019,3579,11589,12144,0,90,3070,2,TJ
2020,28840,9640,10893,642,156,4261,2,TJ
2021,701,8315,14110,551,137,2084,3,TJ
2022,10618,8107,13740,571,162,4206,3,TJ
2023,5514,8647,9351,436,162,4710,2,TJ
