Source: IEA Coal Information 2022 https://www.iea.org/data-and-statistics/data-product/coal-information-2
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Other bituminous coal,Lignite,Patent fuel,BKB,Units
1990,50911,2212,,,TJ
1991,50911,10257,,,TJ
1992,25660,8426,,,TJ
1993,12783,11649,,,TJ
1994,14641,10316,,,TJ
1995,1003,12397,463,,TJ
1996,891,12324,463,,TJ
1997,613,6740,522,,TJ
1998,631,7092,638,,TJ
1999,390,7048,666,,TJ
2000,1170,8836,696,,TJ
2001,1021,8821,522,,TJ
2002,1133,9100,463,,TJ
2003,1170,6550,347,,TJ
2004,1393,9246,29,,TJ
2005,891,9803,29,,TJ
2006,1988,10199,,,TJ
2007,1802,10155,,,TJ
2008,1579,11737,,,TJ
2009,1021,11723,,,TJ
2010,501,11210,,,TJ
2011,761,11884,,,TJ
2012,2155,12602,,,TJ
2013,2415,32605,,20,TJ
2014,4385,21834,,80,TJ
2015,2768,14170,29,1000,TJ
2016,5332,22303,87,1020,TJ
2017,4535,16581,176,1320,TJ
2018,9775,17888,1237,2399,TJ
2019,14782,12140,1047,2507,TJ
2020,12148,41595,279,412,TJ
2021,12988,12522,6,385,TJ
2022,5650,31738,0,22,TJ
2023,5308,23516,,0,TJ
