Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity,Natural gas,Coal and coal products,Oil products,Heat,Units
1990,5281,,,,,TJ
1991,5461,,,,,TJ
1992,9691,,,,,TJ
1993,8492,,,,,TJ
1994,8074,,,,,TJ
1995,12729,84329,,,,TJ
1996,11365,52786,,,,TJ
1997,10868,106562,,,,TJ
1998,10825,118318,,,,TJ
1999,10929,123358,,,,TJ
2000,11300,128163,,,,TJ
2001,6422,130576,,,,TJ
2002,5374,135966,,,,TJ
2003,5450,131129,,,,TJ
2004,5187,131232,,,,TJ
2005,5587,125214,,,,TJ
2006,5878,130268,,,,TJ
2007,5162,126456,,,,TJ
2008,7595,131731,,,,TJ
2009,11221,116210,,,,TJ
2010,8074,134979,,,,TJ
2011,8683,136467,,,,TJ
2012,9532,108458,,,,TJ
2013,10155,99808,,,,TJ
2014,11912,86045,,,,TJ
2015,12427,76761,,,,TJ
2016,18871,82959,,,,TJ
2017,14546,91707,,,,TJ
2018,17895,84992,2811,27,48026,TJ
2019,17979,95467,3070,8649,50118,TJ
2020,18860,100274,4261,7664,46986,TJ
2021,26942,132291,2084,8345,36329,TJ
2022,25831,58861,4206,3965,35894,TJ
2023,26142,76869,4710,3655,28648,TJ
