Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity consumption,Units
1990,48.88,TWh
1991,48.713,TWh
1992,45.651,TWh
1993,44.284,TWh
1994,43.064,TWh
1995,42.02,TWh
1996,42.45,TWh
1997,42.975,TWh
1998,41.959,TWh
1999,42.369,TWh
2000,43.808,TWh
2001,41.093,TWh
2002,41.205,TWh
2003,40.145,TWh
2004,40.345,TWh
2005,39.333,TWh
2006,42.326,TWh
2007,43.441,TWh
2008,42.919,TWh
2009,42.389,TWh
2010,41.823,TWh
2011,43.257,TWh
2012,43.717,TWh
2013,44.626,TWh
2014,45.788,TWh
2015,47.104,TWh
2016,48.119,TWh
2017,50.35,TWh
2018,57.676,TWh
2019,60.141,TWh
2020,59.046,TWh
2021,72.559,TWh
2022,73.164,TWh
2023,73.418,TWh
