Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity consumption/population,Units
1990,2.388,MWh / Capita
1991,2.324,MWh / Capita
1992,2.125,MWh / Capita
1993,2.014,MWh / Capita
1994,1.917,MWh / Capita
1995,1.833,MWh / Capita
1996,1.818,MWh / Capita
1997,1.809,MWh / Capita
1998,1.739,MWh / Capita
1999,1.731,MWh / Capita
2000,1.767,MWh / Capita
2001,1.638,MWh / Capita
2002,1.622,MWh / Capita
2003,1.561,MWh / Capita
2004,1.55,MWh / Capita
2005,1.492,MWh / Capita
2006,1.585,MWh / Capita
2007,1.604,MWh / Capita
2008,1.561,MWh / Capita
2009,1.517,MWh / Capita
2010,1.473,MWh / Capita
2011,1.501,MWh / Capita
2012,1.494,MWh / Capita
2013,1.501,MWh / Capita
2014,1.515,MWh / Capita
2015,1.532,MWh / Capita
2016,1.538,MWh / Capita
2017,1.582,MWh / Capita
2018,1.782,MWh / Capita
2019,1.824,MWh / Capita
2020,1.758,MWh / Capita
2021,2.119,MWh / Capita
2022,2.094,MWh / Capita
2023,2.059,MWh / Capita
