Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity,Heat,Oil and oil products,Coal and coal products,Natural gas,Units
1990,78465,19047,5940,,,TJ
1991,72475,18316,5588,,,TJ
1992,68839,17702,4400,,,TJ
1993,65386,17043,3828,,,TJ
1994,63590,17101,3299,,,TJ
1995,51839,16590,4888,3652,228560,TJ
1996,50651,16466,12378,3262,165581,TJ
1997,53715,15278,13385,2384,117125,TJ
1998,53506,16296,12409,2022,261341,TJ
1999,54028,16010,11409,2007,272475,TJ
2000,55864,17251,10415,2403,283088,TJ
2001,52912,17392,8824,2022,288418,TJ
2002,53661,17523,10140,2154,300323,TJ
2003,52387,16469,7971,1670,289638,TJ
2004,51105,16862,6224,2300,289867,TJ
2005,50155,15460,6229,2212,276573,TJ
2006,51663,16855,6868,2359,287738,TJ
2007,49827,16440,6890,2022,279316,TJ
2008,50050,20924,6053,2579,290968,TJ
2009,50202,19821,5477,3126,256686,TJ
2010,50000,19271,5800,2210,298142,TJ
2011,52808,18768,5965,2268,301429,TJ
2012,53002,18303,5302,3046,239562,TJ
2013,53935,18483,4926,2613,220455,TJ
2014,56926,18728,4102,2769,190056,TJ
2015,58539,18696,4058,1764,169549,TJ
2016,59075,18699,4363,1505,183240,TJ
2017,62562,17994,4514,1916,202562,TJ
2018,55518,18547,8562,3690,189867,TJ
2019,62575,17968,9135,11589,204221,TJ
2020,71036,16845,9834,9640,180965,TJ
2021,72897,15819,10464,8315,203988,TJ
2022,80627,16352,23649,8107,220220,TJ
2023,75652,17175,24679,8647,226079,TJ
