Source: IEA Gas Information https://www.iea.org/data-and-statistics/data-product/natural-gas-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Total final consumption,Units
1990,915738,TJ gross
1991,940426,TJ gross
1992,884902,TJ gross
1993,950018,TJ gross
1994,1054338,TJ gross
1995,890187,TJ gross
1996,889470,TJ gross
1997,904324,TJ gross
1998,1149971,TJ gross
1999,1198959,TJ gross
2000,1245661,TJ gross
2001,1269113,TJ gross
2002,1321499,TJ gross
2003,1274482,TJ gross
2004,1275486,TJ gross
2005,1216992,TJ gross
2006,1266121,TJ gross
2007,1229063,TJ gross
2008,1280331,TJ gross
2009,1129481,TJ gross
2010,1311895,TJ gross
2011,1326362,TJ gross
2012,1054130,TJ gross
2013,970059,TJ gross
2014,836295,TJ gross
2015,746058,TJ gross
2016,806305,TJ gross
2017,891326,TJ gross
2018,820770,TJ gross
2019,857318,TJ gross
2020,979093,TJ gross
2021,1050699,TJ gross
2022,972241,TJ gross
2023,999416,TJ gross
