Source: IEA Gas Information https://www.iea.org/data-and-statistics/data-product/natural-gas-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Other non-specified,Non-energy use,Industry,Transport,Residential,Commercial and public services,Agriculture and forestry,Fishing,Units
1990,915738,,,,,,,,TJ gross
1991,940426,,,,,,,,TJ gross
1992,884902,,,,,,,,TJ gross
1993,950018,,,,,,,,TJ gross
1994,961540,92798,,,,,,,TJ gross
1995,,,253956,50431,483954,93699,8147,,TJ gross
1996,,,183979,62365,575987,58652,8487,,TJ gross
1997,,,130139,57478,591976,118403,6328,,TJ gross
1998,,,290380,63819,657281,131465,7026,,TJ gross
1999,,,302750,66538,685281,137065,7325,,TJ gross
2000,,,314543,69129,711975,142404,7610,,TJ gross
2001,,,320465,70430,725380,145085,7753,,TJ gross
2002,,,333693,73337,755322,151074,8073,,TJ gross
2003,,,321821,70728,728448,145699,7786,,TJ gross
2004,,,322075,70783,729022,145814,7792,,TJ gross
2005,,,307304,67537,695589,139127,7435,,TJ gross
2006,,,319710,70263,723670,144743,7735,,TJ gross
2007,,,310352,68206,702489,140507,7509,,TJ gross
2008,,,323298,71051,731792,146368,7822,,TJ gross
2009,,,285207,62679,645572,129123,6900,,TJ gross
2010,,,331269,72802,749833,149977,8014,,TJ gross
2011,,,334922,73604,758103,151631,8102,,TJ gross
2012,,,266180,58497,602505,120509,6439,,TJ gross
2013,,,244951,53832,554453,110898,5925,,TJ gross
2014,,,211174,46409,477998,95606,5108,,TJ gross
2015,,,188388,41401,426422,85290,4557,,TJ gross
2016,,,203601,44745,460857,92177,4925,,TJ gross
2017,,,225069,49463,509452,101896,5444,,TJ gross
2018,8457,,210963,132902,372253,94435,1739,18,TJ gross
2019,8458,9292,226912,153041,352547,106074,974,16,TJ gross
2020,48611,16849,201073,138984,450100,111416,12041,16,TJ gross
2021,17468,16849,226654,168577,459536,146990,14589,32,TJ gross
2022,9804,13170,244689,194468,438309,65401,6104,292,TJ gross
2023,9804,12881,251199,194468,438309,85410,7092,250,TJ gross
