Source: IEA Oil Information https://www.iea.org/data-and-statistics/data-product/oil-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Naphtha,Motor gasoline,Jet kerosene,Gas/Diesel,Fuel oil,Other oil products,LPG/Ethane,Other kerosene,Crude oil/NGL,Units
1990,11011,114885,3181,139880,1925,72096,,,,TJ
1991,12560,103288,3977,133810,1967,71175,,,,TJ
1992,11429,79926,3475,109191,1004,41868,,,,TJ
1993,,70170,2344,114425,,33620,,,,TJ
1994,,60834,3726,100231,1130,33326,,,,TJ
1995,,51455,13062,86289,10173,26753,1758,2763,5359,TJ
1996,,49571,12853,81265,4563,23362,1716,1925,6028,TJ
1997,,58992,11471,83945,3265,32489,1758,2888,4982,TJ
1998,,59159,15993,76911,2888,31401,1758,4186,5024,TJ
1999,,64769,15742,77665,3558,33075,1842,209,,TJ
2000,,66570,16495,69375,5107,33452,12560,209,,TJ
2001,,64183,15281,70673,5107,33410,12016,209,,TJ
2002,,60415,16872,68202,9838,33368,12057,209,,TJ
2003,,53339,13397,57987,6950,32991,11932,209,,TJ
2004,,55182,14109,51958,6112,30856,12141,209,,TJ
2005,,55810,13230,56689,6280,27172,10885,209,,TJ
2006,,57107,13648,64518,5735,28595,9210,209,,TJ
2007,,59494,11304,66025,3558,32280,8499,251,,TJ
2008,,60834,13732,56940,544,32322,10383,251,,TJ
2009,,61336,13816,50534,1507,29935,10299,293,,TJ
2010,,61001,14193,54512,293,27256,10299,293,,TJ
2011,,54721,11764,56940,2805,25413,10843,334,,TJ
2012,,51037,502,49990,4270,24032,11471,376,,TJ
2013,,49027,753,46599,2470,23027,11136,418,,TJ
2014,,44798,544,39146,1507,20431,29014,460,,TJ
2015,,44254,0,38434,125,20138,29684,502,,TJ
2016,,47352,711,41993,125,21352,30228,544,,TJ
2017,,44758,521,43571,135,25440,31624,567,,TJ
2018,,43572,1160,46104,873,22393,33863,204,,TJ
2019,,44723,1395,47698,3456,24695,33788,1204,,TJ
2020,,53396,471,57946,2678,26912,29553,607,,TJ
2021,,53663,746,45190,4457,27985,33179,566,,TJ
2022,,55472,1097,44425,5291,26236,44641,1432,,TJ
2023,,74486,1161,46219,6235,37470,35637,1064,,TJ
