Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Agriculture and forestry,Other non-specified,Non-energy use,Commercial and public services,Fishing,Units
1990,5940,110804,43,6336,145046,80452,,,TJ
1991,5588,99961,43,6291,138777,81200,,,TJ
1992,4400,78236,43,4312,112632,52012,,,TJ
1993,3828,68804,43,3124,116777,32119,,,TJ
1994,3299,61511,43,2639,103328,31839,,,TJ
1995,4888,61859,,2508,102508,23282,,,TJ
1996,12378,87508,634,45307,11778,20926,,,TJ
1997,13385,93115,3826,47071,11962,28792,,,TJ
1998,12409,135498,3338,854,15896,27640,,,TJ
1999,11409,141611,3936,469,13759,29093,,,TJ
2000,10415,140636,9418,469,17733,29438,,,TJ
2001,8824,145144,9234,296,12037,29476,,,TJ
2002,10140,136323,13754,469,14575,29441,,,TJ
2003,7971,120894,10988,469,10642,29083,,,TJ
2004,6224,121005,10365,382,8782,27224,,,TJ
2005,6229,123603,10105,382,9413,24085,,,TJ
2006,6868,131525,8941,382,9417,25412,,,TJ
2007,6890,135104,6882,390,9471,29060,,,TJ
2008,6053,131625,4534,390,9602,29143,,,TJ
2009,5477,126496,5460,390,9169,26979,,,TJ
2010,5800,130053,4234,390,9391,24532,,,TJ
2011,5965,123333,6956,390,9661,22874,,,TJ
2012,5302,101955,8668,390,9370,21649,,,TJ
2013,4926,91445,6711,255,14752,20733,,,TJ
2014,4102,89135,12372,255,18485,18398,,,TJ
2015,4058,85016,11209,255,21318,18135,,,TJ
2016,4363,84046,11394,255,30196,19275,,,TJ
2017,4514,90137,11907,268,23722,23054,,,TJ
2018,8562,110296,19142,131,562,16313,27,,TJ
2019,9135,102617,21401,142,2867,19196,8649,,TJ
2020,9834,121481,17300,138,2221,20283,7664,,TJ
2021,10464,110545,18067,255,4127,20622,8345,,TJ
2022,23649,111187,17996,5686,4788,19521,3965,4,TJ
2023,24679,122716,11133,13487,5849,28478,3655,393,TJ
