Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil products,Electricity,Coal and coal products,Natural gas,Heat,Units
1990,43,12751,,,,TJ
1991,43,15019,,,,TJ
1992,43,22294,,,,TJ
1993,43,25484,,,,TJ
1994,43,24785,,,,TJ
1995,,24310,1934,435558,,TJ
1996,634,25646,820,518388,,TJ
1997,3826,25455,498,532778,,TJ
1998,3338,25358,527,591552,,TJ
1999,3936,25606,527,616752,,TJ
2000,9418,26478,630,640777,,TJ
2001,9234,15879,527,652842,,TJ
2002,13754,14522,556,679789,,TJ
2003,10988,15019,424,655603,,TJ
2004,10365,15537,586,656119,,TJ
2005,10105,16750,556,626030,,TJ
2006,8941,18208,600,651303,,TJ
2007,6882,23191,512,632240,,TJ
2008,4534,21816,659,658612,,TJ
2009,5460,39211,778,581014,,TJ
2010,4234,41216,564,674849,,TJ
2011,6956,42001,1077,682292,,TJ
2012,8668,43898,2516,542254,,TJ
2013,6711,43365,12184,499007,,TJ
2014,12372,43999,12656,430198,,TJ
2015,11209,45176,11462,383779,,TJ
2016,11394,40305,11596,414771,,TJ
2017,11907,46007,13249,458507,,TJ
2018,19142,48937,19739,335027,45167,TJ
2019,21401,48523,12144,317292,49353,TJ
2020,17300,55978,10893,405090,46269,TJ
2021,18067,55662,14110,413583,48751,TJ
2022,17996,62894,13740,394478,48702,TJ
2023,11133,64222,9351,394478,57075,TJ
