Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Transport share in TFC,Industry share in TFC,Residential share in TFC,Commercial and public services share in TFC,Units
1990,7.696461,6.907546,0.854337,0.352627,%
1991,7.013822,6.39587,0.999606,0.36241,%
1992,6.194155,6.806591,1.671971,0.725348,%
1993,5.385263,6.387099,1.890292,0.628834,%
1994,4.615528,5.917587,1.749389,0.568907,%
1995,8.944017,24.362956,36.82398,7.739409,%
1996,12.001706,20.047905,44.036086,5.178833,%
1997,11.869503,16.033154,44.675886,9.325849,%
1998,13.310808,23.286765,41.831225,8.702374,%
1999,13.499689,23.30918,42.359218,8.794263,%
2000,13.044063,23.181078,42.546404,8.760748,%
2001,13.330697,23.135725,42.474245,8.576366,%
2002,12.560769,23.324578,43.064617,8.589627,%
2003,12.058157,23.511791,43.559604,8.722926,%
2004,12.093758,23.393122,43.586541,8.710816,%
2005,12.607268,23.348165,43.512081,8.709927,%
2006,12.661313,23.205201,43.114214,8.644215,%
2007,12.990431,22.902885,42.823024,8.503444,%
2008,12.389381,22.953564,42.467677,8.629966,%
2009,12.802769,22.933089,42.845623,8.715404,%
2010,12.340547,23.173569,44.496245,8.830178,%
2011,11.890113,23.382224,44.915171,8.902417,%
2012,11.652804,23.398732,43.785032,8.64877,%
2013,11.077488,23.033183,43.033418,8.431098,%
2014,11.426955,23.010626,42.142999,8.269278,%
2015,11.536144,23.019747,41.156035,8.127568,%
2016,10.941966,22.699866,40.661822,8.661133,%
2017,11.119958,23.135079,42.320752,8.489637,%
2018,19.105936,22.420253,37.992416,12.48135,%
2019,19.362893,23.845862,35.025663,13.682421,%
2020,17.717569,20.39004,37.872591,12.59142,%
2021,18.41146,21.524004,38.017631,14.234378,%
2022,20.746017,24.842397,38.287126,9.166458,%
2023,21.025904,24.480542,37.270611,9.731986,%
