Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture and forestry,Other non-specified,Non-energy use,Fishing,Units
1990,103452,115267,12795,5281,59914,1120511,80452,,TJ
1991,96380,105692,15063,5461,62365,1140750,81200,,TJ
1992,90941,82758,22338,9691,43940,1034393,52012,,TJ
1993,86257,72727,25528,8492,41273,1084100,32119,,TJ
1994,83991,65510,24829,8074,39741,1081845,115358,,TJ
1995,305531,112165,461803,97058,52855,196000,28668,,TJ
1996,248340,148669,545490,64152,99102,105994,26985,,TJ
1997,201889,149460,562558,117431,98427,95632,33799,,TJ
1998,345576,197533,620777,129143,52662,105621,32689,,TJ
1999,355930,206139,646823,134288,52989,101732,29092,,TJ
2000,369023,207650,677304,139463,54830,114206,29438,,TJ
2001,369570,212944,678483,136998,60520,109406,29476,,TJ
2002,383803,206686,708623,141341,62832,112761,29441,,TJ
2003,368136,188800,682035,136579,59714,101401,29083,,TJ
2004,366359,189400,682609,136420,60768,103318,27224,,TJ
2005,350631,189329,653443,130801,56530,96929,24085,,TJ
2006,365484,199417,679054,136147,64126,105369,25412,,TJ
2007,354497,201069,662826,131618,65233,103521,29060,,TJ
2008,370575,200021,685622,139327,62430,127336,29143,,TJ
2009,335315,187195,626465,127431,38751,120006,26980,,TJ
2010,375425,199924,720865,143054,38734,117523,24532,,TJ
2011,381239,193864,732327,145151,39451,115559,22874,,TJ
2012,319217,158973,597337,117990,36346,112734,21649,,TJ
2013,300413,144479,561269,109963,37290,130113,20733,,TJ
2014,272583,135363,499225,97957,35305,125764,18398,,TJ
2015,252608,126592,451627,89188,36868,122333,18135,,TJ
2016,266886,128646,478068,101830,38895,142115,19275,,TJ
2017,289550,139173,529671,106253,40033,123828,23054,,TJ
2018,276186,235358,468013,153752,68952,13264,16313,18,TJ
2019,305490,248059,448715,175286,57615,18361,27560,17,TJ
2020,288322,250532,535531,178047,46984,79152,35447,17,TJ
2021,311485,266442,550174,205993,50046,27192,35786,33,TJ
2022,348957,291415,537813,128759,36667,29423,31374,272,TJ
2023,352234,302527,536262,140027,42004,25086,40071,620,TJ
