Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Oil products,Natural gas,Biofuels and waste,Electricity,Heat,Primary oil,Units
1990,53124,348622,824164,149,154540,117074,,TJ
1991,61169,331862,846383,152,154760,112584,,TJ
1992,34086,251637,796411,156,144975,108807,,TJ
1993,24433,224697,855016,159,141436,104756,,TJ
1994,24958,202663,948904,163,137552,105111,,TJ
1995,13864,195047,801168,165,136476,101975,5385,TJ
1996,13679,178534,800523,169,138560,101208,6059,TJ
1997,7876,198154,813891,171,140183,93914,5007,TJ
1998,8362,195638,1034973,175,139640,100166,5049,TJ
1999,8105,200278,1079063,137,141004,98406,,TJ
2000,10702,208112,1121094,172,145792,106042,,TJ
2001,10365,205013,1142201,172,132742,106904,,TJ
2002,10697,204704,1189349,163,132868,107705,,TJ
2003,8068,180049,1147033,144,129229,101227,,TJ
2004,10669,173985,1147937,132,129733,103644,,TJ
2005,10724,173821,1095292,151,126730,95031,,TJ
2006,12187,182548,1139508,158,137012,103597,,TJ
2007,11957,187801,1106156,165,140698,101047,,TJ
2008,13317,181350,1152297,158,138722,128611,,TJ
2009,12745,173975,1016532,158,136897,121837,,TJ
2010,11711,174402,1180705,158,134625,118456,,TJ
2011,12646,169181,1193725,165,139388,115360,,TJ
2012,14757,147337,948717,186,140745,112505,,TJ
2013,35040,138824,873053,186,143553,113605,,TJ
2014,26299,142749,752665,186,147589,115107,,TJ
2015,17967,139994,671452,172,152852,114913,,TJ
2016,28743,149532,725674,172,156657,114937,,TJ
2017,22614,153604,802194,172,162377,110602,,TJ
2018,31301,155036,738693,172,192654,114002,,TJ
2019,30477,164009,771587,89,195113,119827,,TJ
2020,54436,178924,881184,127,187023,112338,,TJ
2021,25902,172428,945629,82,200274,102838,,TJ
2022,37411,186799,875017,82,203838,101534,,TJ
2023,28825,210394,899474,82,196597,103459,,TJ
