Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil products,Electricity,Natural gas,Coal and coal products,Units
1990,110804,4464,,,TJ
1991,99961,5731,,,TJ
1992,78236,4521,,,TJ
1993,68804,3923,,,TJ
1994,61511,3999,,,TJ
1995,61859,4917,45387,,TJ
1996,87508,5032,56128,,TJ
1997,93115,4615,51730,,TJ
1998,135498,4597,57437,,TJ
1999,141611,4643,59884,,TJ
2000,140636,4798,62216,,TJ
2001,145144,4413,63387,,TJ
2002,136323,4359,66003,,TJ
2003,120894,4251,63655,,TJ
2004,121005,4690,63704,,TJ
2005,123603,4942,60783,,TJ
2006,131525,4654,63236,,TJ
2007,135104,4579,61385,,TJ
2008,131625,4449,63945,,TJ
2009,126496,4287,56411,,TJ
2010,130053,4348,65521,,TJ
2011,123333,4287,66243,,TJ
2012,101955,4370,52647,,TJ
2013,91445,4409,48448,175,TJ
2014,89135,4298,41768,161,TJ
2015,85016,4197,37260,117,TJ
2016,84046,4197,40270,131,TJ
2017,90137,4399,44516,119,TJ
2018,110296,5308,119612,140,TJ
2019,102617,7614,137737,90,TJ
2020,121481,3808,125085,156,TJ
2021,110545,4040,151719,137,TJ
2022,111187,5043,175021,162,TJ
2023,122716,4626,175021,162,TJ
