Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,57043,-9847,TJ
1991,57043,-9847,TJ
1992,27128,-4143,TJ
1993,12523,-2564,TJ
1994,12783,-1858,TJ
1995,439,-1201,TJ
1996,766,-117,TJ
1997,395,-439,TJ
1998,447,,TJ
1999,146,,TJ
2000,415,,TJ
2001,388,,TJ
2002,533,,TJ
2003,576,,TJ
2004,311,-58,TJ
2005,33,-135,TJ
2006,92,-322,TJ
2007,148,-58,TJ
2008,111,-102,TJ
2009,159,-117,TJ
2010,167,-102,TJ
2011,576,,TJ
2012,3394,,TJ
2013,2739,,TJ
2014,13927,,TJ
2015,13306,,TJ
2016,13059,,TJ
2017,13453,,TJ
2018,21356,,TJ
2019,23637,,TJ
2020,47221,,TJ
2021,39015,-13,TJ
2022,43967,-907,TJ
2023,86487,-564,TJ
