Source: IEA Oil Information https://www.iea.org/data-and-statistics/data-product/oil-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,217713,,TJ
1991,235172,,TJ
1992,130042,,TJ
1993,171910,-4479,TJ
1994,63597,-669,TJ
1995,8624,-24325,TJ
1996,167,-32782,TJ
1997,,-38225,TJ
1998,,-35043,TJ
1999,,-23990,TJ
2000,,,TJ
2001,,,TJ
2002,,,TJ
2003,,,TJ
2004,,,TJ
2005,,,TJ
2006,586,,TJ
2007,13146,,TJ
2008,12644,,TJ
2009,18505,,TJ
2010,25581,,TJ
2011,28302,,TJ
2012,30479,,TJ
2013,32447,,TJ
2014,25706,,TJ
2015,33326,,TJ
2016,44840,,TJ
2017,42830,,TJ
2018,49371,,TJ
2019,27764,,TJ
2020,30345,,TJ
2021,30372,,TJ
2022,18885,-2,TJ
2023,16595,,TJ
