Source: IEA Oil Information https://www.iea.org/data-and-statistics/data-product/oil-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,217713,,TJ
1991,235172,,TJ
1992,130042,,TJ
1993,171910,-4479,TJ
1994,63597,-669,TJ
1995,8917,-24325,TJ
1996,502,-32782,TJ
1997,334,-38225,TJ
1998,334,-35043,TJ
1999,334,-23990,TJ
2000,334,,TJ
2001,334,,TJ
2002,334,,TJ
2003,334,,TJ
2004,376,,TJ
2005,418,,TJ
2006,1046,,TJ
2007,13648,,TJ
2008,13188,,TJ
2009,19091,,TJ
2010,26209,,TJ
2011,28972,,TJ
2012,31191,,TJ
2013,33201,,TJ
2014,26502,,TJ
2015,34164,,TJ
2016,45719,,TJ
2017,43748,,TJ
2018,50340,,TJ
2019,28799,,TJ
2020,31396,,TJ
2021,31508,,TJ
2022,20089,-2,TJ
2023,17874,,TJ
