Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,59299,-67064,TJ
1991,63727,-65095,TJ
1992,57290,-59054,TJ
1993,54770,-56235,TJ
1994,53279,-54719,TJ
1995,46472,-51116,TJ
1996,50104,-46173,TJ
1997,44704,-41360,TJ
1998,38944,-38311,TJ
1999,44298,-40010,TJ
2000,50493,-45881,TJ
2001,48427,-46652,TJ
2002,41198,-41497,TJ
2003,44665,-44686,TJ
2004,44974,-45871,TJ
2005,42843,-43851,TJ
2006,42631,-44150,TJ
2007,44726,-41165,TJ
2008,42724,-42364,TJ
2009,39326,-39491,TJ
2010,23486,-27694,TJ
2011,29095,-31737,TJ
2012,28548,-30960,TJ
2013,26010,-29185,TJ
2014,23169,-25973,TJ
2015,19872,-24516,TJ
2016,19000,-24386,TJ
2017,25003,-27304,TJ
2018,8038,-9456,TJ
2019,12165,-7440,TJ
2020,18745,-9672,TJ
2021,22436,-9518,TJ
2022,17916,-9730,TJ
2023,15939,-6039,TJ
