Source: IEA Gas Information https://www.iea.org/data-and-statistics/data-product/natural-gas-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,83288,-107307,TJ gross
1991,85533,-110200,TJ gross
1992,88225,-125780,TJ gross
1993,217975,-279545,TJ gross
1994,79984,-186111,TJ gross
1995,48286,-191778,TJ gross
1996,143220,-309492,TJ gross
1997,94116,-337488,TJ gross
1998,36214,-178275,TJ gross
1999,72497,-194370,TJ gross
2000,55276,-233824,TJ gross
2001,53469,-239723,TJ gross
2002,32054,-157372,TJ gross
2003,49309,-254761,TJ gross
2004,43410,-338801,TJ gross
2005,37510,-422840,TJ gross
2006,,-431436,TJ gross
2007,,-489764,TJ gross
2008,,-505190,TJ gross
2009,68,-592719,TJ gross
2010,860,-443353,TJ gross
2011,1834,-310452,TJ gross
2012,4613,-519384,TJ gross
2013,3161,-422483,TJ gross
2014,3957,-366024,TJ gross
2015,2767,-408900,TJ gross
2016,2817,-398537,TJ gross
2017,,-348933,TJ gross
2018,,-561826,TJ gross
2019,,-462094,TJ gross
2020,,-115294,TJ gross
2021,85674,-206176,TJ gross
2022,81688,-159589,TJ gross
2023,165995,-96695,TJ gross
