Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Net imports,Units
1990,366.052,PJ
1991,373.337,PJ
1992,187.945,PJ
1993,173.417,PJ
1994,4.815,PJ
1995,-153.404,PJ
1996,-190.039,PJ
1997,-268.039,PJ
1998,-179.53,PJ
1999,-161.108,PJ
2000,-177.437,PJ
2001,-176.139,PJ
2002,-125.353,PJ
2003,-202.85,PJ
2004,-278.925,PJ
2005,-359.269,PJ
2006,-392.554,PJ
2007,-429.314,PJ
2008,-449.453,PJ
2009,-526.406,PJ
2010,-381.417,PJ
2011,-255.018,PJ
2012,-435.595,PJ
2013,-349.012,PJ
2014,-292.239,PJ
2015,-326.78,PJ
2016,-306.892,PJ
2017,-260,PJ
2018,-436.976,PJ
2019,-349.095,PJ
2020,19.343,PJ
2021,15.114,PJ
2022,31.275,PJ
2023,241.202,PJ
